;name;number of reactions;number of correct answers;total trials;happy;sad;neutral;8ms;16ms;25ms;141ms;8ms happy;8ms sad;8ms neutral;16ms happy;16ms sad;16ms neutral;25ms happy;25ms sad;25ms neutral;141ms happy;141ms sad;141ms neutral;study_number
0;039;233;216;92.7039;96.2963;83.5616;97.4684;66.6667;93.8462;91.0256;94.2529;100.0;0.0;0.0;100.0;81.25;95.6522;90.0;80.9524;100.0;100.0;88.5714;96.5517;study2
1;041;236;208;88.1356;98.8506;62.1212;97.5904;0.0;82.6087;87.013;94.382;0.0;0.0;0.0;100.0;8.3333;95.8333;100.0;44.4444;100.0;100.0;88.8889;96.6667;study2
2;042;200;168;84.0;98.6301;57.8947;90.0;0.0;71.4286;82.8571;93.75;0.0;0.0;0.0;100.0;0.0;76.4706;100.0;37.5;92.0;95.4545;87.0968;100.0;study2
3;045;243;219;90.1235;98.8506;68.0556;100.0;0.0;85.5072;89.2857;94.4444;0.0;0.0;0.0;96.875;35.7143;100.0;100.0;60.8696;100.0;100.0;85.7143;100.0;study2
4;047;232;203;87.5;94.8718;76.0;91.1392;0.0;66.0714;91.8605;97.7528;0.0;0.0;0.0;84.6154;16.6667;72.2222;100.0;80.7692;93.3333;100.0;94.4444;100.0;study2
5;030;291;239;82.1306;94.8454;62.8866;88.6598;32.1429;72.9412;88.5057;100.0;60.0;0.0;30.0;96.9697;24.0;88.8889;100.0;67.8571;96.5517;100.0;100.0;100.0;study2
6;037;223;174;78.0269;89.4737;43.662;98.6842;0.0;56.25;79.2683;90.1099;0.0;0.0;0.0;61.9048;0.0;100.0;100.0;19.0476;100.0;100.0;75.0;100.0;study2
7;028;279;243;87.0968;97.9381;64.0449;97.8495;72.7273;83.3333;86.5169;93.2584;71.4286;0.0;100.0;100.0;40.0;100.0;100.0;57.1429;100.0;100.0;88.5714;93.3333;study2
8;033;264;226;85.6061;97.7778;59.3023;98.8636;0.0;77.1084;90.0;89.011;0.0;0.0;0.0;97.1429;19.0476;96.2963;100.0;68.9655;100.0;95.8333;75.0;100.0;study2
9;027;232;184;79.3103;98.7952;83.3333;54.5455;66.6667;74.6269;78.75;84.1463;100.0;0.0;0.0;96.7742;68.75;45.0;100.0;87.5;51.7241;100.0;90.3226;64.2857;study2
10;046;221;191;86.4253;94.9367;65.7143;97.2222;0.0;76.087;85.7143;92.3077;0.0;0.0;0.0;83.3333;30.0;100.0;100.0;54.1667;96.5517;100.0;83.3333;96.7742;study2
11;043;225;188;83.5556;95.2941;65.7534;88.0597;60.0;78.9474;87.6923;89.1566;55.5556;40.0;83.3333;100.0;47.0588;76.9231;100.0;73.6842;84.2105;100.0;75.0;96.5517;study2
12;029;337;220;65.2819;67.8261;49.5413;77.8761;32.5;54.321;73.2558;96.6667;13.7931;20.8333;62.963;67.7419;17.3913;70.3704;93.5484;48.1481;75.0;100.0;91.4286;100.0;study2
13;038;248;215;86.6935;96.4706;63.75;98.7952;0.0;74.2857;92.0455;91.1111;0.0;0.0;0.0;90.3226;17.6471;95.4545;100.0;74.0741;100.0;100.0;77.7778;100.0;study2
14;034;301;252;83.7209;96.2617;68.8172;84.1584;53.1915;85.5422;89.0244;93.2584;94.4444;15.3846;37.5;100.0;47.619;96.4286;100.0;75.0;88.8889;87.5;97.1429;93.3333;study2
15;025;235;208;88.5106;100.0;72.0588;90.0;0.0;80.8824;86.25;96.5517;0.0;0.0;0.0;100.0;23.0769;85.7143;100.0;55.0;93.3333;100.0;100.0;89.6552;study2
16;040;212;173;81.6038;94.8052;58.8235;89.5522;0.0;61.2245;82.0513;95.1807;0.0;0.0;0.0;91.3043;6.6667;72.7273;96.6667;45.0;92.8571;95.8333;96.7742;92.8571;study2
17;048;234;191;81.6239;98.8372;49.2958;92.2078;100.0;69.3548;73.75;96.6292;100.0;0.0;100.0;96.5517;0.0;71.4286;100.0;12.5;100.0;100.0;91.4286;100.0;study2
18;032;258;218;84.4961;95.3488;58.3333;98.8636;0.0;74.6835;85.2273;92.3077;0.0;0.0;0.0;90.625;20.0;96.2963;96.6667;57.1429;100.0;100.0;80.5556;100.0;study2
19;036;249;203;81.5261;96.5116;47.4359;97.6471;0.0;75.6757;81.6092;86.3636;0.0;0.0;0.0;90.625;17.6471;96.0;100.0;46.4286;96.5517;100.0;63.6364;100.0;study2
