trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.598532599999999,14.58663698000007,14.590421399999968,20.116367880000077,None,14.590421399999968,20.116367880000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,,,,,,,,,,,,,,,,20.118938399999934,25.101686080000015,space,4.96623250000016,20.118938399999934,25.101686080000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,3,25.105922700000065,25.395097779999993,26.143246900000122,26.168727380000043,26.176638899999944,26.213685379999994,26.21871750000014,27.09384707999991,a,1,0.8664094999999179,866.4094999999179,26.21871750000014,27.09384707999991,27.098428000000013,28.645139080000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,28.646163200000046,28.945018679999954,29.14288540000007,29.30260618000009,29.305759900000112,29.34679068000012,29.349737300000015,30.02255368000008,a,1,0.6632912000000033,663.2912000000033,29.349737300000015,30.02255368000008,30.02595210000004,31.620184679999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,31.621232100000043,31.92009187999995,32.12388080000005,32.15012937999993,32.15091219999999,32.18880787999999,32.19115860000011,33.17088518000012,s,1,0.966067300000077,966.067300000077,32.19115860000011,33.17088518000012,33.175667100000055,34.31202357999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,34.31335100000001,34.61199417999999,34.81688000000008,34.97684468000009,34.97953099999995,35.020670079999924,35.02341999999999,35.48400098,d,1,0.4457542000000103,445.7542000000103,35.02341999999999,35.48400098,35.48877760000005,37.12041578000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,3,37.121666600000026,37.42041007999999,37.61190590000001,37.6379867800001,37.63847940000005,37.673204079999984,37.67323690000012,38.720741079999904,s,1,1.035895900000014,1035.895900000014,37.67323690000012,38.720741079999904,38.72344500000008,40.070300780000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.120158100000026,43.112277879999944,43.116384700000026,44.73105697999993,space,1.6006781999999475,1600.6781999999475,43.116384700000026,44.73105697999993,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,44.7357214000001,45.028818680000064,45.7871983,45.94588337999992,45.95058199999994,45.98963827999999,45.99685490000002,46.555889879999974,a,1,0.544181700000081,544.181700000081,45.99685490000002,46.555889879999974,46.56344160000003,48.07884237999995,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,48.08284600000002,48.37882888000011,48.599111600000015,48.62543778000006,48.62591829999997,48.66343157999993,48.66351869999994,50.07772707999991,s,1,1.3977548000000297,1397.7548000000297,48.66351869999994,50.07772707999991,50.0859382000001,51.595578379999985,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,51.59969460000002,51.895548680000026,52.12169300000005,52.27346848,52.27712880000013,52.31453067999994,52.31750970000007,52.79435678000002,a,1,0.4638033999999607,463.8033999999607,52.31750970000007,52.79435678000002,52.8036247,53.878938179999956,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
