trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,24.068150200066157,27.073282820056193,27.07331890007481,27.964957720017992,s,0.8787438999861479,27.07331890007481,27.964957720017992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,,,,,,,,,,,,,,,,,27.96498460008297,29.914982120040804,s,1.939117499976419,27.96498460008297,29.914982120040804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,29.923316200030968,30.22328242007643,30.80747360002715,30.948318320093676,30.948351200087927,30.990026220097207,30.99002270004712,31.92334912007209,a,1,0.9221244000364095,922.1244000364095,30.99002270004712,31.92334912007209,31.923313200008124,33.173313520033844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,33.17342590005137,33.47331442008726,33.59832920006011,33.74001142010093,33.74001400009729,33.78163852007128,33.78170970000792,34.481723720091395,s,0,0.6906601999653503,690.6601999653503,33.78170970000792,34.481723720091395,34.49001529999077,36.289935620035976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,36.28997100004926,36.59001532010734,36.723308000015095,36.74831052008085,36.7483527000295,36.79001762007829,36.79005569999572,38.298357520019636,None,0,,,36.79005569999572,38.298357520019636,38.298429600079544,40.206614320049994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,40.20664129999932,40.50662832008675,40.63163810002152,40.77326422010083,40.7732995999977,40.815029920078814,40.815003400086425,41.29833172005601,d,1,0.4733320999657735,473.3320999657735,40.815003400086425,41.29833172005601,41.298349100048654,42.92324822000228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,3,42.92329690000042,43.223260420025326,43.33996740006842,43.36501002009027,43.365007400047034,43.406590020051226,43.40662860008888,44.131719320081174,s,1,0.7136580999940634,713.6580999940634,43.40662860008888,44.131719320081174,44.131682500010356,46.123255920014344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.14830040000379,49.14829422009643,49.14830610004719,67.33195911999792,s,18.16399409994483,18163.99409994483,49.14830610004719,67.33195911999792,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,67.34188710001763,67.64032152004074,68.29135360009968,68.33192262006924,68.34121860004961,68.39856842008885,68.40857590001542,70.75687962002121,None,0,68.40857590001542,70.75687962002121,70.76528690010309,72.20689272007439,,,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,72.21526299999095,72.51523132005241,72.64860710001085,72.88987932004966,72.89003840007354,72.93157542007975,72.94001870008651,73.32323092001025,s,1,72.94001870008651,73.32323092001025,73.32324410008732,74.70654022006784,0.3719445000169799,371.9445000169799,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,74.71497339999769,75.01486822008155,75.16491390008014,75.30653892003465,75.3065788000822,75.34820882009808,75.34824040008243,76.11496372008696,a,1,75.34824040008243,76.11496372008696,76.12328780000098,78.04820482002106,0.7559214000357315,755.9214000357315,,,EMOCONPILOT005_120HZ,2021_Feb_25_1138,EmoCon_Pilot_120Hz,2020.2.4,119.99299241175999,
