trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,346.10989570000675,349.09965581008,349.10100250004325,354.89454460997365,None,349.10100250004325,354.89454460997365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,,,,,,,,,,,,,,,,354.8988536000252,356.6916236100136,a,1.783516600029543,354.8988536000252,356.6916236100136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,356.6975968000479,356.9912898100796,357.82593170006294,357.9797909100656,357.99210590007715,358.02820961006216,358.0288889000658,358.777762410033,a,1,0.733360500074923,733.360500074923,358.0288889000658,358.777762410033,358.783051699982,359.8581332100206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,359.8599892000202,360.1582145099877,360.3597727000015,360.5279645100585,360.53058310004417,360.57125340999335,360.5743918999797,360.86933821000855,s,0,0.28396529995370656,283.96529995370656,360.5743918999797,360.86933821000855,360.87472459999844,362.11662421006474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,362.1188755000476,362.4165404100553,362.6092255000258,362.63585061001356,362.6366943999892,362.6724227100261,362.6731027000351,363.4325726100127,d,0,0.7451304999412969,745.1304999412969,362.6731027000351,363.4325726100127,363.4355495000491,364.54158291002966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,364.5435997999739,364.8416867100517,365.0365788000636,365.19947790998265,365.20231199997943,365.24320581000063,365.2461835000431,365.601969310001,d,1,0.34813439997378737,348.13439997378737,365.2461835000431,365.601969310001,365.6070154000772,367.5249915100052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,367.5281187000219,367.825003810029,368.0236906000646,368.184176910005,368.1865585000487,368.22666851003885,368.2298311999766,368.7074005100061,s,1,0.4685194999910891,468.5194999910891,368.2298311999766,368.7074005100061,368.7127089999849,370.38337961005743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.43949440005235,373.4334473100374,373.43784190004226,375.04416601002447,a,1.5962704000994563,1596.2704000994563,373.43784190004226,375.04416601002447,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,375.05038560007233,375.3418292099726,375.96874989999924,376.13238811007466,376.1372557000723,376.17814391005084,376.185561100021,376.635531310027,a,1,0.4404823000077158,440.4823000077158,376.185561100021,376.635531310027,376.6440457999706,377.6668258100166,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,377.67222569999285,377.96694771006,378.169931899989,378.3317328100442,378.3352136000758,378.3740339100244,378.37587640003767,378.8093772100168,s,1,0.42629860003944486,426.29860003944486,378.37587640003767,378.8093772100168,378.8182487000013,380.7919567099656,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,380.7960820000153,381.09192230998303,381.3293148999801,381.3548100099782,381.3554606999969,381.3930452099652,381.39446700003464,382.0401104099932,d,0,0.6316885999403894,631.6885999403894,381.39446700003464,382.0401104099932,382.0468654000433,383.55033640997715,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
