trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,564.8150207999861,567.8001714999555,567.8048096999992,573.4882524999557,None,567.8048096999992,573.4882524999557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,,,,,,,,,,,,,,,,573.4905925999628,576.5390299999854,a,3.034907800029032,573.4905925999628,576.5390299999854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,576.5453792000189,576.8335828999989,577.6851722999709,577.8469008000102,577.8675744000357,577.9020559999626,577.9023698000237,579.5883285999298,None,0,577.9023698000237,579.5883285999298,579.5887214000104,581.1004132999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,581.1026569999522,581.400416099932,581.6143719999818,581.773187499959,581.7742927999934,581.8121487000026,581.814477799926,583.5517226000084,None,0,581.814477799926,583.5517226000084,583.5544342999347,585.2005015999312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,585.2019790000049,585.5005299999611,585.7056398999412,585.7316954999696,585.7346993000247,585.7754941999447,585.7783582999837,587.6073600000236,None,0,585.7783582999837,587.6073600000236,587.6101595000364,588.9589395000366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,588.9603155000368,589.2589355999371,589.4540568999946,589.6158939999295,589.618618199951,589.6585259999847,589.661694200011,590.8445814999286,d,1,589.661694200011,590.8445814999286,590.8474320999812,591.8922151000006,1.16785870003514,1167.85870003514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,591.893314099987,592.192209300003,592.3986072000116,592.5605605000164,592.5631188999396,592.6042124000378,592.607316599926,594.2801490999991,None,0,592.607316599926,594.2801490999991,594.2811862999806,595.4590218999656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.5089335000375,598.5007322999882,598.5035406999523,600.8527982999803,a,2.3420767999486998,2342.0767999486998,598.5035406999523,600.8527982999803,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,600.8589536999352,601.1506973999785,602.031160500017,602.058097400004,602.0625211999286,602.1029684999958,602.1102329000132,603.7247074999614,None,0,602.1102329000132,603.7247074999614,603.7307523000054,605.4675219999626,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,605.472815199988,605.7674951000372,605.9761823000154,606.0020166999893,606.0024364999263,606.0378720000153,606.0384723999305,607.1324965000385,d,0,606.0384723999305,607.1324965000385,607.1437517999439,608.8093408999266,1.0793677000328898,1079.3677000328898,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,608.8135536999907,609.1093144000042,609.3585241000401,609.5162840000121,609.520831599948,609.5620185999433,609.566542699933,610.9670238000108,a,1,609.566542699933,610.9670238000108,610.9732875999762,612.4759922999656,1.3909045999171212,1390.9045999171212,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
