trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,531.6505499,534.63838743,534.6436565000001,539.94256823,None,534.6436565000001,539.94256823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,,,,,,,,,,,,,,,,539.9448774,545.72761313,None,539.9448774,545.72761313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,545.7336011,546.0218140300001,546.2518706000001,546.4202768299999,546.4370506,546.4733199299999,546.4753579999999,548.07943363,None,0,546.4753579999999,548.07943363,548.0828282,549.43864263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,549.4413384,549.73860833,549.9417413000001,550.1010740300001,550.1033608,550.14169423,550.1438228,551.81723573,None,0,550.1438228,551.81723573,551.8180173999999,553.44702863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,553.4484383000001,553.7470133300001,553.9421563999999,554.1005989299999,554.1033231000001,554.1436376300001,554.1470472999999,555.88749263,None,0,554.1470472999999,555.88749263,555.8901978000001,557.2138003299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,557.2151054999999,557.51378643,557.7161851000001,557.88716783,557.8898523,557.93122973,557.9340929,558.75035353,d,1,557.9340929,558.75035353,558.7558596000001,559.9138283299999,0.808366999999862,808.366999999862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,559.9149074,560.21383133,560.4094087000001,560.5727081299999,560.5754344,560.61274123,560.6148716,561.28232213,s,1,560.6148716,561.28232213,561.2843087000001,562.57213323,0.655417800000123,655.417800000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.6117813000001,565.6055689299999,565.6073017000001,569.5402204300001,g,3.919112999999925,3919.112999999925,565.6073017000001,569.5402204300001,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,569.5452822,569.8389339299999,570.0910425,570.1176060299999,570.1190578000001,570.1566773300001,570.1575626000001,570.9015376299999,s,0,0.7367458999999599,736.7458999999599,570.1575626000001,570.9015376299999,570.9091053,572.28076053,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,572.2860277,572.58072963,572.7906168,572.95274103,572.9576367,572.9984302299999,573.0035061000001,573.4837794299999,s,1,0.46713130000011915,467.13130000011915,573.0035061000001,573.4837794299999,573.491784,574.68904643,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,574.6931139000001,574.9891114300001,575.2316376000001,575.25704683,575.257519,575.2917702299999,575.2921612,576.93462783,None,0,,,575.2921612,576.93462783,576.9384812000001,578.16408953,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
