trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,21.5945307998918,24.58609127998352,24.590028499951586,30.1072463800665,None,24.590028499951586,30.1072463800665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,,,,,,,,,,,,,,,,30.111387399956584,33.566631980007514,space,3.4456292998511344,30.111387399956584,33.566631980007514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,33.57332680001855,33.86120137991384,34.091165399877355,34.244950579945,34.25161499995738,34.28734587994404,34.2880404999014,35.91901307995431,None,0,34.2880404999014,35.91901307995431,35.92081280006096,37.65298727992922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,37.654929499840364,37.95289687998593,38.15025769989006,38.30654698004946,38.308913100045174,38.349822379881516,38.35299429995939,39.52486667991616,a,1,38.35299429995939,39.52486667991616,39.527393899858,40.54458277998492,1.155906799947843,1155.906799947843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,40.545516500016674,40.844588779844344,41.04190499987453,41.19647107995115,41.19934990000911,41.239445680053905,41.241994299925864,42.423037679865956,s,1,41.241994299925864,42.423037679865956,42.428155599860474,44.169791280059144,1.1709527000784874,1170.9527000784874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,44.171494599897414,44.469843280036,44.66876649996266,44.694826680002734,44.695234399987385,44.73091168003157,44.73061789991334,46.370225979946554,None,0,44.73061789991334,46.370225979946554,46.37093480001204,47.386456379899755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,47.38740909984335,47.68652967992239,47.88381839985959,48.04394097998738,48.04652570001781,48.08777257986367,48.09070699987933,49.757948979968205,a,0,48.09070699987933,49.757948979968205,49.76343160006218,51.44489148003049,1.6584364001173526,1658.4364001173526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4907791998703,54.4781540799886,54.4788679999765,56.87074428005144,space,2.382270500063896,2382.270500063896,54.4788679999765,56.87074428005144,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,56.87969779991545,57.170090480009094,57.431738399900496,57.58616977999918,57.590597399976104,57.62937987991609,57.63703339989297,59.3464781800285,None,0,57.63703339989297,59.3464781800285,59.35244579985738,60.38671938003972,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,60.39200269989669,60.6867156799417,60.88459059991874,61.042607279960066,61.04761779983528,61.08763567986898,61.092510699993,62.728477580007166,None,0,61.092510699993,62.728477580007166,62.73513469984755,64.35351018002257,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,64.35753539996222,64.65346987987868,64.88779999990948,64.91321168001741,64.91358030005358,64.9481386798434,64.94896299997345,66.67016077996232,None,0,64.94896299997345,66.67016077996232,66.67518689995632,67.95358247985132,,,EMOCONPILOT010,2021_Jan_04_1704,EmoCon_Pilot_120Hz,2020.2.4,120.24621606703984,
