trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,433.9580253000604,436.9486575900461,436.95370389998425,442.4996623900603,None,436.95370389998425,442.4996623900603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,,,,,,,,,,,,,,,,442.5031621999806,446.1084438900813,h,3.587906299973838,442.5031621999806,446.1084438900813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,446.11476440005936,446.40716829007727,446.6482214999851,446.8058020900586,446.8130159000866,446.8499352900195,446.8511771999765,448.49455159002684,None,0,446.8511771999765,448.49455159002684,448.4981274000602,450.39877938999564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,450.40088520001154,450.698804690002,450.8984659999842,450.92443779002645,450.92485589999706,450.9590477899998,450.95900630007964,452.5616327901022,None,0,450.95900630007964,452.5616327901022,452.56272679998074,454.52393539001935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,454.52668290003203,454.8239009900368,455.0281163000036,455.1858653900796,455.1886760999914,455.22740059004866,455.23082980001345,456.32060469008286,s,1,455.23082980001345,456.32060469008286,456.3228645999916,457.5738440900692,1.0759030999615788,1075.9030999615788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,457.5748332000803,457.87397349005334,458.07989070005715,458.1063442900428,458.106309600058,458.1425754900207,458.14227200008463,458.9352989900741,d,1,458.14227200008463,458.9352989900741,458.93668000004254,460.2906740900013,0.7802700999891385,780.2700999891385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,460.29189880006015,460.59072249006715,460.79016560001764,460.9511503900518,460.9536940000253,460.9936389900628,460.99698519997764,461.99576759008926,s,1,460.99698519997764,461.99576759008926,462.0008450000314,463.5991536900052,0.9818473000777885,981.8473000777885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.64486900006887,466.6324957899866,466.63389880000614,468.6508440900012,g,2.000986099941656,2000.986099941656,466.63389880000614,468.6508440900012,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,468.65245100005995,468.9409381900565,469.7599188000895,469.9182998900884,469.91849260008894,469.9521037900937,469.9543221000349,470.9262812900939,a,1,0.9603931000456214,960.3931000456214,469.9543221000349,470.9262812900939,470.9357686000876,472.09091599002716,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,472.09611719998065,472.39094339004953,472.6010701999767,472.7629367900896,472.76797769998666,472.80908259000864,472.81414670008235,473.83369859001834,s,1,1.0047010999405757,1004.7010999405757,472.81414670008235,473.83369859001834,473.8450964000076,475.4076858900604,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,475.41320030007046,475.7076903900248,475.9413090000162,475.9666179900174,475.966934200027,476.0021483900142,476.0018926000921,477.27405849002537,a,1,1.264800199889578,1264.800199889578,476.0018926000921,477.27405849002537,477.28093990008347,479.24104119007245,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
