trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,119.79816329991445,122.7841568598291,122.78852940001525,128.39631106003654,None,122.78852940001525,128.39631106003654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,,,,,,,,,,,,,,,,128.39855189993978,134.13961266002153,None,128.39855189993978,134.13961266002153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,134.14501359988935,134.43416005999316,134.66962679987773,134.82582806001884,134.83396609988995,134.86858936001082,134.86984349996783,136.46847915996332,None,0,134.86984349996783,136.46847915996332,136.47085899999365,137.6177060599206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,137.61953849997371,137.9176195598906,138.11148580000736,138.13832926002797,138.1386239998974,138.17307415998076,138.17286539985798,139.76244346003514,None,0,138.17286539985798,139.76244346003514,139.76344610005617,141.34267365999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,141.3438583998941,141.6427518599434,141.83932559983805,141.998357659881,142.00117259984836,142.0419755598763,142.04531239997596,143.4724969598232,s,1,142.04531239997596,143.4724969598232,143.4767175000161,144.84278885994573,1.4197873000521213,1419.7873000521213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,144.8442029999569,145.14280295998324,145.34133339999244,145.36680586005096,145.36763029987924,145.4021862598369,145.40256999991834,146.58650126003195,s,0,145.40256999991834,146.58650126003195,146.58980589988641,148.07622886004393,1.1745687001384795,1174.5687001384795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,3,148.07746379985474,148.37611096000765,148.58753530005924,148.61457425982226,148.61539619998075,148.6522900599288,148.65267820004374,150.34665995996912,None,0,148.65267820004374,150.34665995996912,150.3493425999768,152.0762529598782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.1346650000196,155.12619385982399,155.1277325998526,157.14467765993905,menu,2.0013117999769747,2001.3117999769747,155.1277325998526,157.14467765993905,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,157.14673579996452,157.44309526004363,157.7580869998783,157.81477725992445,157.83216489991173,157.9049709599698,157.91088189999573,160.88890155984555,None,0,157.91088189999573,160.88890155984555,160.90217939997092,163.10981276000385,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,163.1150636000093,163.4098748599412,163.619594699936,163.77637505994645,163.778295799857,163.81517695982475,163.816981599899,164.547209359915,s,1,163.816981599899,164.547209359915,164.5537539999932,165.62649306000677,0.7200556001625955,720.0556001625955,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,165.6294559999369,165.92645135985222,166.16562890005298,166.32334085993935,166.32857829984277,166.36916245983448,166.37427200004458,166.8324497600319,s,0,166.37427200004458,166.8324497600319,166.83623389992863,168.81825245984365,0.443108799867332,443.108799867332,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
