trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,21.108151799999177,24.092619879999255,24.096139499997662,29.79248357999895,None,24.096139499997662,29.79248357999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,,,,,,,,,,,,,,,,29.795926799997687,34.05189617999931,a,4.2485063999993145,29.795926799997687,34.05189617999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,34.05928069999936,34.35103757999823,35.18541120000009,35.35497587999853,35.37705659999847,35.41330907999727,35.414432300000044,37.01490377999871,None,0,35.414432300000044,37.01490377999871,37.015787999996974,38.16799997999842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,38.17006609999953,38.46790487999751,38.67998279999665,38.70677097999796,38.70864399999846,38.748494379999464,38.75164849999783,39.564444579997506,d,0,38.75164849999783,39.564444579997506,39.564930199998344,41.29304057999834,0.8047640999975556,804.7640999975556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,41.29454699999769,41.5929588799976,41.80597329999728,41.8319065799973,41.832080499996664,41.86916307999709,41.8692947999989,43.44103647999727,None,0,41.8692947999989,43.44103647999727,43.44372909999947,44.75973597999691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,44.76243819999945,45.05967197999998,45.2743109999974,45.30290217999791,45.3038704999999,45.33984917999842,45.33998249999786,46.965488879998155,None,0,45.33998249999786,46.965488879998155,46.966533299997536,48.50962537999876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,48.510712799998146,48.809697779999986,49.00973499999964,49.17379107999877,49.17680130000008,49.217335179999644,49.220431999998254,50.92382697999928,None,0,49.220431999998254,50.92382697999928,50.926138699996955,52.4098038799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.464967899999465,55.46000787999801,55.46293589999914,59.10890197999688,s,3.6374071999998705,3637.4071999998705,55.46293589999914,59.10890197999688,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,59.11406530000022,59.401522380000095,60.35711539999829,60.38294797999915,60.38381329999902,60.41920517999679,60.42082819999996,61.918379479999565,None,0,60.42082819999996,61.918379479999565,61.91823049999948,63.259902879998116,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,63.25983339999948,63.55974457999982,63.76069179999831,63.78731837999876,63.79018939999878,63.82908817999705,63.83450919999814,65.43159677999793,None,0,63.83450919999814,65.43159677999793,65.43532779999805,66.57686867999874,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,66.58235489999788,66.87679527999936,67.11306839999816,67.2797148800004,67.28245029999744,67.3194661799993,67.31943129999854,68.5456720799979,a,1,67.31943129999854,68.5456720799979,68.54848809999748,70.06855297999792,1.212821499997517,1212.821499997517,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
