trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,27.793641500175,30.78582738006953,30.78737280005589,36.610578080103735,None,30.78737280005589,36.610578080103735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,,,,,,,,,,,,,,,,36.61390650016256,39.03506358007435,s,2.4056501002050936,36.61390650016256,39.03506358007435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,39.04244320001453,39.33606498006266,39.58507709996775,39.73817277995404,39.74542640009895,39.779854579991664,39.78069830010645,41.02142547995318,a,1,1.2307459998410195,1230.7459998410195,39.78069830010645,41.02142547995318,41.02590850018896,42.34450288016815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,42.34652899997309,42.644474479998465,42.84455390018411,43.00423778004479,43.006912800017744,43.046233880030925,43.04928530007601,43.891829780000265,a,1,0.8340288000181317,834.0288000181317,43.04928530007601,43.891829780000265,43.8953790999949,45.75291738000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,45.75441140006296,46.05291328013409,46.2573383001145,46.28349938003812,46.28373210015707,46.32075938016642,46.321314700180665,47.36227918013465,d,0,1.026281900005415,1026.281900005415,46.321314700180665,47.36227918013465,47.36661530006677,48.561316480091776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,48.56257940013893,48.861264279973696,49.06699190009385,49.092202880117114,49.09314989997074,49.128940079989846,49.12921230006032,50.03635698014405,d,1,0.8982134000398219,898.2134000398219,49.12921230006032,50.03635698014405,50.03976620011963,51.77786028005649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,51.77776379999705,52.077998980111445,52.3120817001909,52.474191780132244,52.476793700130656,52.517788780084814,52.520606599980965,53.172562180017124,s,1,0.6427472000941634,642.7472000941634,52.520606599980965,53.172562180017124,53.174002200132236,54.486449780105616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.53679689997807,57.5279383800691,57.52897940017283,59.281836680066775,s,1.738431999925524,1738.431999925524,57.52897940017283,59.281836680066775,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,59.28556039999239,59.57779218016658,59.827272000024095,59.853290280024524,59.853494100039825,59.888073580036874,59.89048729999922,61.488224479998465,None,0,59.89048729999922,61.488224479998465,61.496395900147036,62.61162568016444,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,62.61479929997586,62.91169948007446,63.1178377000615,63.27895628002007,63.2836896001827,63.32451528001111,63.32977040018886,64.08962897995953,s,1,63.32977040018886,64.08962897995953,64.09567080019042,66.05341138008517,0.7455325999762863,745.5325999762863,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,66.0575716001913,66.35344968007412,66.5898875000421,66.61737987997476,66.62036560010165,66.66033288014587,66.66516249999404,68.29762638004031,None,0,66.66516249999404,68.29762638004031,68.30289300018921,70.10330288012047,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
