trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,2602.3130370000144,2605.3022707700206,2605.3075344000245,2611.1417131699914,None,2605.3075344000245,2611.1417131699914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,,,,,,,,,,,,,,,,2611.1469085999997,2614.479555870005,a,3.3234774000011384,2611.1469085999997,2614.479555870005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,3,2614.4843623000197,2614.7772259700055,2615.7073722999776,2615.735283870023,2615.7566629999783,2615.79422226997,2615.7956861000275,2617.39345586999,None,0,2615.7956861000275,2617.39345586999,2617.3953609999735,2618.8774389699743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,2618.879405100015,2619.1774754700077,2619.407567200018,2619.4347022699717,2619.437458499975,2619.478325670009,2619.481487300014,2621.0941206699995,None,0,2619.481487300014,2621.0941206699995,2621.09509040002,2622.8940620700073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,2622.8951571999933,2623.1941192700237,2623.3982876000227,2623.4247681699985,2623.4267690000124,2623.4675227699977,2623.4702388999867,2625.1379271699757,None,0,2623.4702388999867,2625.1379271699757,2625.138905700005,2626.235821069981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,2626.2371154000284,2626.5358155699855,2626.741898200009,2626.899420470005,2626.9025440000114,2626.939956569992,2626.9423033000203,2628.2699293699757,d,1,2626.9423033000203,2628.2699293699757,2628.2738583000028,2630.086025269999,1.3122496000141837,1312.2496000141837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,2630.087512600003,2630.3860098699865,2630.590968900011,2630.751439769991,2630.7540593000012,2630.7951214700065,2630.7980005000136,2631.7715480700194,s,1,2630.7980005000136,2631.7715480700194,2631.774560799997,2633.0276780700137,0.960287399997469,960.287399997469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633.08003870002,2636.0694313700137,2636.0742681000265,2675.7856497700036,s,39.70005939999828,39700.05939999828,2636.0742681000265,2675.7856497700036,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,2675.792317799991,2676.0869116699964,2676.8671376000275,2677.0344826700225,2677.039300900011,2677.0803354699806,2677.0860267999815,2678.0034747700033,a,1,0.9041579000186175,904.1579000186175,2677.0860267999815,2678.0034747700033,2678.00933000003,2679.320229869982,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,2679.3268831000314,2679.6202809700103,2679.8279201000114,2679.854266570014,2679.854266899987,2679.8886559699954,2679.8887987000053,2681.4753763700196,None,0,,,2679.8887987000053,2681.4753763700196,2681.475737700006,2682.553494670027,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,2682.556491700001,2682.853603669972,2683.092915199988,2683.118713470007,2683.1193578999955,2683.154695570009,2683.1547953999834,2684.7476942699927,None,0,,,2683.1547953999834,2684.7476942699927,2684.7527921000146,2685.9203200700053,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
