trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,23.77438099985011,26.76461300989613,26.766682900022715,28.31695900987834,d,1.5400253999978304,26.766682900022715,28.31695900987834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,,,,,,,,,,,,,,,,,28.322013499913737,30.860875309817494,d,2.528577899793163,28.322013499913737,30.860875309817494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,30.864415899850428,31.1563912098296,31.394825599854812,31.563108310010286,31.571337800007313,31.607555709918962,31.608581200009212,33.17346630981192,None,0,31.608581200009212,33.17346630981192,33.173914399929345,34.773169009853156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,34.77512330003083,35.07313080984168,35.28159529995173,35.30909190992825,35.31153839989565,35.35143010984175,35.35480109998025,36.273972609918566,s,0,35.35480109998025,36.273972609918566,36.276823699939996,37.8733009099029,0.9039324999321252,903.9324999321252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,37.87539059994742,38.1732139099855,38.36849100003019,38.52506370996125,38.52792629995383,38.56918310993351,38.57231339998543,38.946775909885766,s,1,38.57231339998543,38.946775909885766,38.95110989990644,40.52316021001898,0.3583131998311728,358.3131998311728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,3,40.52425029990263,40.82329260990955,41.02739719999954,41.05320780994371,41.0535671999678,41.09094400997274,41.09124569990672,42.00018820995465,d,1,41.09124569990672,42.00018820995465,42.00271259993315,43.723320010025056,0.8953577999491245,895.3577999491245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,3,43.724458399927244,44.02322690994479,44.22760559991002,44.254446709901096,44.25463979993947,44.29112231000327,44.291365899844095,45.8522044100333,None,0,44.291365899844095,45.8522044100333,45.85315089998767,47.165067410003395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.21136839990504,50.19821670991369,50.19870839989744,51.09200371000916,s,0.883887100033462,883.887100033462,50.19870839989744,51.09200371000916,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,51.097234699875116,51.39025500989519,51.65007560001686,51.67636410999112,51.67815259983763,51.71211910983548,51.71515959990211,52.382079909928144,s,0,0.6554589001461864,655.4589001461864,51.71515959990211,52.382079909928144,52.38899749983102,53.7735505098477,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,53.77773760003038,54.073539909813555,54.28512329980731,54.44081030986272,54.44415119988844,54.48094100984745,54.48376620002091,54.91307530985214,s,1,0.414983700029552,414.983700029552,54.48376620002091,54.91307530985214,54.92236919980496,56.15699490988627,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,56.16120640002191,56.45699480981566,56.69846210000105,56.72396221002564,56.724363199900836,56.75879310993478,56.759914099937305,57.941845709830524,s,0,1.1707056001760066,1170.7056001760066,56.759914099937305,57.941845709830524,57.94934799987823,59.72373280990869,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
