trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,45.26998980017379,48.25486908010207,48.259086000034586,53.70554998000152,None,48.259086000034586,53.70554998000152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,,,,,,,,,,,,,,,,53.706730500096455,56.59112208005972,d,2.8705321999732405,53.706730500096455,56.59112208005972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,3,56.59552740002982,56.88821408008225,57.1186210999731,57.14544008015655,57.15375300007872,57.18941578008234,57.19009719998576,58.788381880102676,None,0,57.19009719998576,58.788381880102676,58.790053399978206,59.78834228003397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,59.79037900012918,60.08835288016125,60.28778050001711,60.31320628006942,60.31408440019004,60.34935088008642,60.34899220010266,61.89006138006225,None,0,60.34899220010266,61.89006138006225,61.89063310017809,63.78003357998095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,63.78106370009482,64.07998418011702,64.27609840012155,64.43245648005977,64.43517040018924,64.47440498014912,64.4767548001837,65.44877367997542,s,1,64.4767548001837,65.44877367997542,65.45143700018525,66.4969017800875,0.9564473999198526,956.4473999198526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,66.49859480001032,66.79681768007576,66.99581730016507,67.1561638800893,67.1588583001867,67.19894968015142,67.20187420002185,67.82963378001004,d,1,67.20187420002185,67.82963378001004,67.83074820018373,68.84689318011515,0.6152094001881778,615.2094001881778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,68.84835240012035,69.1468784801662,69.34710280015133,69.50858298009261,69.51121320016682,69.55219228002242,69.55539220012724,71.22101637995802,None,0,69.55539220012724,71.22101637995802,71.22190120001324,73.03860018001869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.08465600013733,76.07220308012329,76.07561450009234,82.34052418004721,d,6.253618099959567,6253.618099959567,76.07561450009234,82.34052418004721,0,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,82.34558670013212,82.6387867801357,82.8945808999706,83.06441927999258,83.06948240008205,83.1105511800386,83.1184523999691,83.92797368015162,a,1,0.7947845999151468,794.7845999151468,83.1184523999691,83.92797368015162,83.9367143001873,85.18049238012172,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,85.18559910007752,85.4805160799995,85.67923500016332,85.70542528009973,85.70598700013943,85.74079508003778,85.74106590007432,86.85870438017882,s,1,1.1082562000956386,1108.2562000956386,85.74106590007432,86.85870438017882,86.8688835001085,88.71397007997147,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,88.71939880005084,89.01406908007338,89.24934430001304,89.27473748004995,89.2747909000609,89.31008218014613,89.31064030015841,90.91200608010404,None,0,,,89.31064030015841,90.91200608010404,90.91695640003309,92.75568868005648,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,92.76117970002815,93.0557164800819,93.25420100009069,93.42078728014603,93.42419920000248,93.46468888008967,93.46988490014337,93.96803638008423,d,1,0.4834196998272091,483.4196998272091,93.46988490014337,93.96803638008423,93.98116440000013,95.68076738012023,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,95.68588680005632,95.98085288000293,96.18204470002092,96.20896877995692,96.20990310003981,96.24483928009867,96.24420129996724,97.95988797997124,None,0,,,96.24420129996724,97.95988797997124,97.9669234000612,99.56412828010507,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,99.56816440005787,99.86414098013192,100.06724780006334,100.09340738011524,100.09369000000879,100.12827957998961,100.12767570000142,101.71000558016821,None,0,,,100.12767570000142,101.71000558016821,101.71490929997526,103.68933398015797,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,103.69329109997489,103.98923188000917,104.19735150015913,104.22285588011145,104.22630270011723,104.26724888007156,104.27228839998133,105.16518968013115,s,1,0.8809452001005411,880.9452001005411,104.27228839998133,105.16518968013115,105.173667000141,106.1725650801789,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,106.17551199998707,106.4725775799714,106.71337989997119,106.88013258012943,106.88346080016345,106.92440547998994,106.92933119996451,108.43500318001024,s,1,1.4959484001155943,1495.9484001155943,106.92933119996451,108.43500318001024,108.44672300014645,109.61447367998771,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,17,1,109.6208190000616,109.91443208018318,110.12741030007601,110.29811308016069,110.30269260006025,110.34290177999064,110.34733820008114,110.78455837997608,d,1,0.43019960005767643,430.19960005767643,110.34733820008114,110.78455837997608,110.79644890013151,112.25624617999419,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,112.26247390010394,112.55619868002832,112.80123890005052,112.82770137996413,112.82868820009753,112.86561848009005,112.86581440013833,113.8111670801416,s,1,0.9355063000693917,935.5063000693917,112.86581440013833,113.8111670801416,113.82243439997546,115.4395387800876,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,115.44341180007905,115.73954657996073,115.94737179996446,115.9735713800881,115.97354559996165,116.0081656800583,116.00783630018122,116.5918724801857,d,1,0.5696901998016983,569.6901998016983,116.00783630018122,116.5918724801857,116.60141630005091,118.1980322801508,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,3,1,118.2036184000317,118.49807748007588,118.58720390009694,118.60923718004487,118.60958340018988,118.6491668801289,118.65085149998777,120.3740126799792,None,0,,,118.65085149998777,120.3740126799792,120.381003000075,121.73129157996736,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,121.73529470013455,122.03129808017984,122.25452590011992,122.40857038013637,122.41346479998901,122.4546970801428,122.45905690011568,123.82420247998088,a,0,1.3584038999397308,1358.4038999397308,122.45905690011568,123.82420247998088,123.83288330002688,125.73972738017328,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,3,1,125.74471540004015,126.03977668001316,126.0596566000022,126.08230418008752,126.08318249997683,126.11810498004779,126.11772139999084,126.74912718003615,d,1,0.6195251001045108,619.5251001045108,126.11772139999084,126.74912718003615,126.75630680005997,128.28155788006262,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,17,1,128.2870644000359,128.5815396799706,128.6012536000926,128.7330536799971,128.73645330010913,128.7745277799666,128.7774923001416,129.17871898012237,d,1,0.39180040010251105,391.80040010251105,128.7774923001416,129.17871898012237,129.18856610008515,130.98987568002195,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,17,1,130.99385400000028,131.28984657996335,131.51405370002612,131.67548848008738,131.67901229998097,131.7199352799915,131.72518770000897,132.4933411799837,s,1,0.7561184999067336,756.1184999067336,131.72518770000897,132.4933411799837,132.5018502001185,134.26494238008746,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
