trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,186.52950880000026,189.52170204000012,189.52569109999968,195.50308224,None,189.52569109999968,195.50308224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,,,,,,,,,,,,,,,,195.50710900000013,198.2485783400003,a,2.729177499999423,195.50710900000013,198.2485783400003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,17,198.2578623999998,198.54686993999948,199.44415440000012,199.60315544000022,199.6146134999999,199.65468323999957,199.66002949999984,200.3556236399996,a,1,0.6883564999998271,688.3564999998271,199.66002949999984,200.3556236399996,200.36179230000016,201.57185953999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,17,201.5740636999999,201.8718856399997,202.08270019999964,202.24242844,202.24515040000006,202.28573233999995,202.2889535000004,203.68195744000022,a,1,1.3791873000000123,1379.1873000000123,202.2889535000004,203.68195744000022,203.68676440000036,205.3885590400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,17,205.38979540000037,205.68857283999986,205.90526839999984,206.06324963999995,206.06616510000003,206.10654573999963,206.1096308999995,207.35747904000036,s,1,1.2387865000000602,1238.7865000000602,206.1096308999995,207.35747904000036,207.36228539999956,209.20544703999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,209.20688539999992,209.50544494000005,209.7212658999997,209.88340484,209.8856909999995,209.92620914000017,209.92941229999997,210.45793044,d,1,0.5148124999996071,514.8124999996071,209.92941229999997,210.45793044,210.46235030000025,211.54704344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,211.54888849999952,211.8471156399997,212.06388069999957,212.2260976399999,212.22872949999964,212.26933103999963,212.27227370000037,213.2255505399995,s,1,0.9400868000002447,940.0868000002447,212.27227370000037,213.2255505399995,213.22831049999968,214.3221577399996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.37891260000015,217.37224573999956,217.3785115999999,218.96562883999977,a,1.5776474999993297,1577.6474999993297,217.3785115999999,218.96562883999977,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,218.97368920000008,219.26386234000037,219.8920847999998,219.91807363999996,219.91820339999958,219.9524173400001,219.9535632999996,221.52325353999967,None,0,219.9535632999996,221.52325353999967,221.52330110000003,223.21401764000038,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,3,1,223.2192728,223.51403423999963,223.7290135000003,223.75547163999963,223.75561990000006,223.79084284000018,223.79144889999952,225.46724133999996,None,0,223.79144889999952,225.46724133999996,225.47447869999996,227.00558023999983,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,227.00846360000014,227.30567753999966,227.53435509999963,227.69991033999995,227.70436379999956,227.74491334000012,227.74997129999974,228.7405815400003,a,1,227.74997129999974,228.7405815400003,228.74863259999984,230.15569644000024,0.9743270999997549,974.3270999997549,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,230.15902840000035,230.45583893999955,230.65086799999972,230.81084783999958,230.81454699999995,230.8549380399996,230.86007059999974,231.32319074000006,d,1,230.86007059999974,231.32319074000006,231.32510869999987,232.82248133999983,0.44808629999988625,448.08629999988625,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,232.82780639999964,233.12247923999948,233.31733340000028,233.3434023400001,233.34438099999988,233.38201264000017,233.38208810000015,234.75209804000005,s,0,233.38208810000015,234.75209804000005,234.76371749999998,236.4392542399997,1.3580600999994203,1358.0600999994203,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,236.4432885999995,236.7391830399998,236.9483965999998,236.9742191399997,236.97428219999983,237.0091265400002,237.00951580000037,238.6898592399999,None,0,237.00951580000037,238.6898592399999,238.69378460000007,239.91436974000007,,,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,17,1,239.9186639999998,240.21426584000037,240.4208110999998,240.5801857399998,240.5847186000001,240.6249478400001,240.6297515999995,242.00477133999956,s,1,240.6297515999995,242.00477133999956,242.01315599999998,243.72269923999974,1.3583846000001358,1358.3846000001358,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,243.72687580000002,244.0226642399999,244.26045729999987,244.4203408399995,244.42522540000027,244.46555763999967,244.47048610000002,245.50048974,s,1,244.47048610000002,245.50048974,245.5061609000004,247.28939813999986,1.0214956999998321,1021.4956999998321,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,17,1,247.2940853,247.58941344000013,247.79966989999957,247.96782753999977,247.97124179999992,248.01235244000017,248.0172333999999,248.63492594,d,1,248.0172333999999,248.63492594,248.6433449999995,250.08111963999963,0.6107350000002043,610.7350000002043,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,250.08566340000016,250.3811848399997,250.61744679999993,250.77625513999973,250.77980790000038,250.82046283999952,250.82549289999952,251.62577224000015,s,1,250.82549289999952,251.62577224000015,251.62879950000024,252.7396084400003,0.786508799999865,786.508799999865,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,3,1,252.74525790000007,253.0396309399999,253.24258720000034,253.26963933999977,253.26988720000008,253.30723454000017,253.30838630000017,254.07335613999985,d,1,253.30838630000017,254.07335613999985,254.08226449999984,255.33962133999975,0.7516834999996718,751.6834999996718,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,3,1,255.34398409999994,255.63947914000036,255.75416789999963,255.77592333999982,255.7765588000002,255.8157936399999,255.81727469999987,257.01194283999996,s,0,255.81727469999987,257.01194283999996,257.02135629999975,258.5729378399998,1.1788807000002635,1178.8807000002635,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,258.5782362,258.87296063999986,259.36533469999995,259.5222883399998,259.52720059999956,259.56829514000003,259.5736035,261.2946994399996,s,1,259.5736035,261.2946994399996,261.3030183999999,263.04804083999954,1.710442000000512,1710.442000000512,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
