trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.300293499999952,18.29345526999998,18.29854690000002,23.41140637000001,a,5.100827000000095,18.29854690000002,23.41140637000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,,,,,,,,,,,,,,,,,23.418775600000004,25.609870070000056,a,2.1806761999999935,23.418775600000004,25.609870070000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3.0,f,1113_y_f_s_a.jpg,sad,a,3,25.618938800000024,25.91025757,26.559403400000065,26.58671966999998,26.606178200000045,26.64359496999998,26.648781600000007,28.00872197000001,a,1,1.3504146999999875,1350.4146999999875,26.648781600000007,28.00872197000001,28.010566899999958,29.226891170000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1.0,m,1111_m_m_s_a.jpg,sad,a,3,29.228719599999977,29.52695717000006,29.75724790000004,29.78296487,29.783809700000006,29.819926369999962,29.81994789999999,30.605108169999994,a,1,0.7713208999999779,771.3208999999779,29.81994789999999,30.605108169999994,30.60804250000001,31.860410770000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,3.0,f,1113_y_f_n_a.jpg,neutral,s,3,31.863043800000014,32.160306969999965,32.38541989999999,32.411030470000014,32.41107729999999,32.44787437000002,32.44776690000003,33.18420166999999,s,1,0.7275303999999778,727.5303999999778,32.44776690000003,33.18420166999999,33.18472350000002,34.77708237000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,2.0,f,1112_m_f_h_a.jpg,happy,d,17,34.77916860000005,35.07713457,35.27832539999997,35.43966337000006,35.44235519999995,35.482824670000014,35.48596090000001,36.19616177,d,1,0.6971657999999934,697.1657999999934,35.48596090000001,36.19616177,36.19906190000006,37.81038307000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,4,2.0,f,1112_m_f_n_a.jpg,neutral,s,17,37.81184110000004,38.11037707000003,38.33780539999998,38.50900157000001,38.51176650000002,38.55266867,38.555584899999985,39.317759470000055,s,1,0.7478449000000182,747.8449000000182,38.555584899999985,39.317759470000055,39.32123009999998,40.41882097000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.46558349999998,43.460399069999994,43.461249599999974,45.071061869999994,a,1.6018952000000581,1601.8952000000581,43.461249599999974,45.071061869999994,0,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,45.076398100000006,45.36896247000004,46.01324009999996,46.04171897000003,46.041693099999975,46.078241270000035,46.07847949999996,47.10309287000007,a,1,1.016804900000011,1016.804900000011,46.07847949999996,47.10309287000007,47.11362789999998,48.760604870000066,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,m,033_o_m_n_a.jpg,neutral,s,17,1,48.76579760000004,49.06057297000007,49.25081499999999,49.41990126999997,49.424721100000056,49.46591807000004,49.47111510000002,50.02567386999999,s,1,0.544114000000036,544.114000000036,49.47111510000002,50.02567386999999,50.02820320000001,51.32703427000001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,51.327299100000005,51.62736897000002,51.857410200000004,51.88309736999997,51.883103300000016,51.920247270000004,51.9203215,53.06540387000007,a,1,1.1349629999999706,1134.9629999999706,51.9203215,53.06540387000007,53.0732438,54.71076827000002,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
