Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;key_resp_Rating.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116.5211316999048;121.48706299997866;121.48706299997866;None;7;19.58289560000412;116.5211316999048;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;136.191142299911;None;137.4443007998634;137.7617706998717;137.7617706998717;137.77885659993626;137.77885659993626;137.81195400003344;137.81195400003344;None;None;0;137.81195400003344;None;139.31321089994162;None;None;139.31321089994162;None;;;;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;142.3128682000097;None;143.96547259995714;144.25483420002274;144.25483420002274;144.4044538999442;144.4044538999442;144.4453579999972;144.4453579999972;None;9;0;144.4453579999972;None;145.94529219996184;None;"['7', '7']";145.94529219996184;None;1.2266541998833418;"[0.9347411999478936, 2.9186240998096764]";;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;148.9460473000072;None;150.09180609998293;150.3885589998681;150.3885589998681;150.5378711000085;150.5378711000085;150.57882479997352;150.57882479997352;None;8;1;150.57882479997352;None;152.0787029999774;None;"['8', '7']";152.0787029999774;None;0.13312200014479458;"[0.09718489996157587, 0.8011515000835061]";;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;156.12384080002084;None;158.11722950008698;158.41316889994778;158.41316889994778;158.56282039987855;158.56282039987855;158.60380630008876;158.60380630008876;None;9;0;158.60380630008876;None;160.10453639994375;None;['7'];160.10453639994375;None;1.1882257999386638;[1.0634951998945326];155.0795292998664;None;None;None;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;163.1054746999871;None;164.9579853999894;165.24704229994677;165.24704229994677;165.2630958999507;165.2630958999507;165.30396430008113;165.30396430008113;None;None;0;165.30396430008113;None;166.80416859989055;None;"['9', '7']";166.80416859989055;None;;"[0.08360680006444454, 0.5716760999057442]";;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;169.8049081999343;None;170.98809410003014;171.28013910003938;171.28013910003938;171.29660109989345;171.29660109989345;171.33745420002379;171.33745420002379;None;9;1;171.33745420002379;None;172.83749100007117;None;['7'];172.83749100007117;None;1.3102814999874681;[0.45046919980086386];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;175.83851150004193;None;177.4651840000879;177.7555801998824;177.7555801998824;177.77178439986892;177.77178439986892;177.8125452999957;177.8125452999957;None;8;0;177.8125452999957;None;179.31260309997015;None;['8'];179.31260309997015;None;1.3632204001769423;[1.5272462000139058];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;182.31275809998624;None;183.6210163999349;183.91365280002356;183.91365280002356;183.93866420001723;183.93866420001723;183.97940089995973;183.97940089995973;None;8;1;183.97940089995973;None;185.47948860004544;None;['7'];185.47948860004544;None;0.8447048000525683;[1.2164563999976963];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;188.47963299998082;None;190.28750149998814;190.58056849986315;190.58056849986315;190.59713610005565;190.59713610005565;190.63781440001912;190.63781440001912;None;9;1;190.63781440001912;None;192.1380254998803;None;['7'];192.1380254998803;None;0.9621371000539511;[1.453727399930358];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;195.13878869987093;None;197.1360025999602;197.43067519995384;197.43067519995384;197.43881369987503;197.43881369987503;197.47964560007676;197.47964560007676;None;None;0;197.47964560007676;None;198.9797614000272;None;['9'];198.9797614000272;None;;[1.708175899926573];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
