Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;key_resp_Rating.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.23691640002653;25.20303249999415;25.20303249999415;None;8;15.843090999987908;20.23691640002653;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;36.19581230008043;None;37.451289499993436;37.768443100037985;37.768443100037985;37.78679420007393;37.78679420007393;37.81937160005327;37.81937160005327;None;None;0;37.81937160005327;None;39.320910800015554;None;None;39.320910800015554;None;;;;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;42.31978070002515;None;43.97384990006685;44.26267259998713;44.26267259998713;44.412025100085884;44.412025100085884;44.45278910000343;44.45278910000343;None;9;0;44.45278910000343;None;45.9529778000433;None;['9'];45.9529778000433;None;0.9551345000509173;[1.087035599979572];;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;48.953856999985874;None;50.09659700002521;50.38788539997768;50.38788539997768;50.53726940008346;50.53726940008346;50.57810990000144;50.57810990000144;None;8;1;50.57810990000144;None;52.078516800072975;None;['7'];52.078516800072975;None;0.8779549000319093;[0.8333116999128833];;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;56.12879810004961;None;58.12655819999054;58.420987399993464;58.420987399993464;58.57070000004023;58.57070000004023;58.61148650001269;58.61148650001269;None;9;0;58.61148650001269;None;60.11278269998729;None;['7'];60.11278269998729;None;0.8924934000242501;[1.0871172999031842];55.07844800001476;None;None;None;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;63.11224280006718;None;64.96246880001854;65.25491820008028;65.25491820008028;65.2708953000838;65.2708953000838;65.31184009998105;65.31184009998105;None;None;0;65.31184009998105;None;66.81163730006665;None;"['8', '8']";66.81163730006665;None;;"[0.3243361000204459, 0.8281883000163361]";;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;69.81240559997968;None;70.99604400002863;71.28776279999875;71.28776279999875;71.30425500008278;71.30425500008278;71.344962400035;71.344962400035;None;None;0;71.344962400035;None;72.84520500001963;None;"['7', '9']";72.84520500001963;None;;"[0.04281290003564209, 1.0747827000450343]";;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;75.84649320004974;None;77.47322050004732;77.76328319997992;77.76328319997992;77.77959920000285;77.77959920000285;77.82032729999628;77.82032729999628;None;8;0;77.82032729999628;None;79.3203164000297;None;"['9', '9']";79.3203164000297;None;1.2837166000390425;"[0.8875155999558046, 0.9437721000285819]";;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;82.32115660002455;None;83.62814789998811;83.92135080008302;83.92135080008302;83.94631670007948;83.94631670007948;83.98698410007637;83.98698410007637;None;8;1;83.98698410007637;None;85.48713690007571;None;['8'];85.48713690007571;None;0.9091283999150619;[0.4809178999857977];;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;88.48745370004326;None;90.29550510004628;90.58826180000324;90.58826180000324;90.60470849997364;90.60470849997364;90.64555680006742;90.64555680006742;None;None;0;90.64555680006742;None;92.14563360007014;None;"['7', '8']";92.14563360007014;None;;"[0.08644089999143034, 0.8623659999575466]";;;;;;;Emoconpilot029;2021_Nov_02_1439;BackwardMask;2020.2.8;119.80567511000827;
