Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.85408920000009;26.82318110000051;26.82318110000051;None;7;20.013358000000153;21.85408920000009;None;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;41.89835910000056;None;43.17054090000056;43.48477679999996;43.48477679999996;43.515731000000414;43.515731000000414;43.548037399999885;43.548037399999885;None;8;0;0.9675457999992432;43.548037399999885;None;45.048681600000236;None;['8'];[0.6426151999994545];45.048681600000236;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;48.04822469999999;None;49.69795179999983;49.99031439999999;49.99031439999999;50.13981520000016;50.13981520000016;50.180769800000235;50.180769800000235;None;9;0;0.5506572000003871;50.180769800000235;None;51.68098590000045;None;['7'];[0.6424214999997275];51.68098590000045;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;54.68184560000009;None;55.81818040000053;56.107273200000236;56.107273200000236;56.256672999999864;56.256672999999864;56.29752009999993;56.29752009999993;None;8;1;0.5299232000006668;56.29752009999993;None;57.797620299999835;None;['7'];[0.7178155000001425];57.797620299999835;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;61.830647800000406;None;63.821818800000074;64.11543350000011;64.11543350000011;64.26512809999986;64.26512809999986;64.30607099999997;64.30607099999997;None;9;0;0.4492667000004076;64.30607099999997;None;65.80681980000008;None;['7'];[0.37265019999995275];65.80681980000008;None;60.79863999999998;None;None;None;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;68.80711510000037;None;70.69217879999997;70.98255390000031;70.98255390000031;70.9986073;70.9986073;71.0394608000006;71.0394608000006;None;9;1;0.651961399999891;71.0394608000006;None;72.54004290000012;None;['7'];[0.4474890999999843];72.54004290000012;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;75.5396894000005;None;76.71596709999994;77.00735870000062;77.00735870000062;77.02368819999992;77.02368819999992;77.06472190000022;77.06472190000022;None;9;1;0.6266449000004286;77.06472190000022;None;78.56458060000023;None;['7'];[0.3668448999997054];78.56458060000023;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;81.5647968000003;None;83.18770920000043;83.4828879000006;83.4828879000006;83.49886810000044;83.49886810000044;83.53960800000004;83.53960800000004;None;8;0;0.6637621999998373;83.53960800000004;None;85.03987680000046;None;['7'];[0.7794331000004604];85.03987680000046;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;88.04052690000026;None;89.34044730000005;89.63247279999996;89.63247279999996;89.65733830000045;89.65733830000045;89.69816830000036;89.69816830000036;None;8;1;0.9853440999995655;89.69816830000036;None;91.19815560000006;None;['8'];[0.3413055999999415];91.19815560000006;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;94.19915700000001;None;96.00634160000027;96.29922560000068;96.29922560000068;96.31577760000073;96.31577760000073;96.35659120000037;96.35659120000037;None;9;1;0.6227930000004562;96.35659120000037;None;97.85689040000034;None;['7'];[0.5226251000003685];97.85689040000034;None;;;;;Emoconpilot032;2021_Oct_27_1337;BackwardMask;2020.2.8;120.1271906699742;
