Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.53674260014668;25.504316499922425;25.504316499922425;None;8;14.38843460008502;20.53674260014668;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;34.95659920014441;None;36.21628369996324;36.525227199774235;36.525227199774235;36.55345330014825;36.55345330014825;36.587194699794054;36.587194699794054;None;8;0;1.3139388002455235;36.587194699794054;None;38.08881019987166;None;['8'];[1.4043648997321725];38.08881019987166;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;41.08819749997929;None;42.73541169986129;43.03044759994373;43.03044759994373;43.17993550002575;43.17993550002575;43.22076960001141;43.22076960001141;None;9;0;1.2164984000846744;43.22076960001141;None;44.72078280011192;None;['7'];[1.388396699912846];44.72078280011192;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;47.721040800213814;None;48.860164400190115;49.15571289975196;49.15571289975196;49.305075199808925;49.305075199808925;49.345842599868774;49.345842599868774;None;8;1;0.9634636999107897;49.345842599868774;None;50.84623460005969;None;['7'];[2.55087919998914];50.84623460005969;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;54.883066500071436;None;56.877806399948895;57.172374499961734;57.172374499961734;57.32231379998848;57.32231379998848;57.362712000031024;57.362712000031024;None;9;0;1.1542728999629617;57.362712000031024;None;58.86307490011677;None;['7'];[1.2220752001740038];58.86307490011677;None;53.84623260004446;None;None;None;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;61.86356810014695;None;63.72528239991516;64.01425429992378;64.01425429992378;64.03036839980632;64.03036839980632;64.07133929990232;64.07133929990232;None;None;0;;64.07133929990232;None;65.57128359982744;None;"['8', '9']";"[1.4578763996250927, 2.5538407997228205]";65.57128359982744;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;68.57157680019736;None;69.74779010005295;70.0390699999407;70.0390699999407;70.05571749992669;70.05571749992669;70.0964576001279;70.0964576001279;None;9;1;1.188624800182879;70.0964576001279;None;71.59641399979591;None;['7'];[0.9527439000084996];71.59641399979591;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;74.59745070012286;None;76.2382661998272;76.53111919993535;76.53111919993535;76.54709539981559;76.54709539981559;76.588254599832;76.588254599832;None;8;0;1.2888186001218855;76.588254599832;None;78.08822449995205;None;['8'];[0.6529377000406384];78.08822449995205;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;81.08918379992247;None;82.3875242001377;82.6811644998379;82.6811644998379;82.70576989976689;82.70576989976689;82.74652370018885;82.74652370018885;None;8;1;0.9546586000360548;82.74652370018885;None;84.24687540018931;None;['7'];[0.9823345998302102];84.24687540018931;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;87.24690929986537;None;89.0551279000938;89.34778469987214;89.34778469987214;89.36418349994346;89.36418349994346;89.40511280018836;89.40511280018836;None;9;1;1.0240667997859418;89.40511280018836;None;90.90521730016917;None;['7'];[0.5798793998546898];90.90521730016917;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;93.90531030017883;None;95.89675310021266;96.18935590004548;96.18935590004548;96.19759579980746;96.19759579980746;96.23879820015281;96.23879820015281;None;None;0;;96.23879820015281;None;97.73870069999248;None;['9'];[1.1624500001780689];97.73870069999248;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;100.73940380010754;None;102.74962250003591;103.04013990005478;103.04013990005478;103.18961159978062;103.18961159978062;103.23027729988098;103.23027729988098;None;8;1;1.1429324001073837;103.23027729988098;None;104.73121490003541;None;['7'];[1.0418210998177528];104.73121490003541;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;107.73054380016401;None;109.72221220005304;110.0147664998658;110.0147664998658;110.02303649997339;110.02303649997339;110.06392979994416;110.06392979994416;None;None;0;;110.06392979994416;None;111.56392840016633;None;['8'];[0.5212089996784925];111.56392840016633;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;114.56469460017979;None;116.26294030016288;116.55709239980206;116.55709239980206;116.58145719999447;116.58145719999447;116.62231400003657;116.62231400003657;None;9;0;0.9349863003008068;116.62231400003657;None;118.12271129991859;None;['7'];[0.5943383001722395];118.12271129991859;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
