Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.86326440004632;46.83156800013967;46.83156800013967;None;7;12.838612500112504;41.86326440004632;None;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;54.73422190011479;None;55.97849220014177;56.292707700049505;56.292707700049505;56.31133419997059;56.31133419997059;56.34699400002137;56.34699400002137;None;None;0;56.34699400002137;None;57.84851979999803;None;['9'];[2.109607300022617];57.84851979999803;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;60.84810489998199;None;62.49113179999404;62.7819540000055;62.7819540000055;62.93144199997187;62.93144199997187;62.97224480006844;62.97224480006844;None;9;0;62.97224480006844;None;64.47227889997885;None;['7'];[1.205860699992627];64.47227889997885;None;0.8418214998673648;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;67.472597300075;None;68.60834689997137;68.89869080018252;68.89869080018252;69.04831059998833;69.04831059998833;69.08913440001197;69.08913440001197;None;8;1;69.08913440001197;None;70.5891434000805;None;['7'];[0.7609119999688119];70.5891434000805;None;0.5409540999680758;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;74.62146309996024;None;76.6106053001713;76.90676559996791;76.90676559996791;77.05672070011497;77.05672070011497;77.09753350005485;77.09753350005485;None;9;0;77.09753350005485;None;78.59851950011216;None;['7'];[0.44749819999560714];78.59851950011216;None;0.5883539998903871;73.58973190002143;None;None;None;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;81.59790090005845;None;83.43554750015028;83.72402680013329;83.72402680013329;83.74000720004551;83.74000720004551;83.78094150009565;83.78094150009565;None;None;0;83.78094150009565;None;85.28092320007272;None;['9'];[0.5091305000241846];85.28092320007272;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;88.28100650012493;None;89.45645200018771;89.7486417000182;89.7486417000182;89.76526590017602;89.76526590017602;89.80608600005507;89.80608600005507;None;9;1;89.80608600005507;None;91.30676960013807;None;['8'];[0.5311704000923783];91.30676960013807;None;0.8480208998080343;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;94.3061933000572;None;95.92794440011494;96.22434139996767;96.22434139996767;96.24045390007086;96.24045390007086;96.2813605000265;96.2813605000265;None;8;0;96.2813605000265;None;97.78132320009172;None;['8'];[0.8728053001686931];97.78132320009172;None;0.9807855000253767;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;100.78204359998927;None;102.08104160008952;102.37401779997163;102.37401779997163;102.39887859998271;102.39887859998271;102.43988600000739;102.43988600000739;None;7;0;102.43988600000739;None;103.94003130006604;None;['8'];[0.39408989995718];103.94003130006604;None;0.9582374999299645;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;106.94092910015024;None;108.74768070015125;109.04080280009657;109.04080280009657;109.05749929999001;109.05749929999001;109.09825769998133;109.09825769998133;None;9;1;109.09825769998133;None;110.59837800008245;None;['8'];[0.24763270001858473];110.59837800008245;None;0.7157962000928819;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;113.59844160010107;None;115.58921730006114;115.88285940000787;115.88285940000787;115.89088240009733;115.89088240009733;115.93164670001715;115.93164670001715;None;None;0;115.93164670001715;None;117.43160140002146;None;['9'];[0.4303985999431461];117.43160140002146;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;120.43173369998112;None;122.43728479999118;122.73318099998869;122.73318099998869;122.88263780018315;122.88263780018315;122.9235932000447;122.9235932000447;None;8;1;122.9235932000447;None;124.42364230006933;None;['7'];[0.4145344002172351];124.42364230006933;None;0.5545488998759538;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;127.42352510010824;None;129.41511130006984;129.70782020012848;129.70782020012848;129.71632850007154;129.71632850007154;129.757012499962;129.757012499962;None;None;0;129.757012499962;None;131.25698120007291;None;['9'];[0.38910589995794];131.25698120007291;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
