Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;349.80798100028187;354.77434970019385;354.77434970019385;None;7;9.10964130004868;349.80798100028187;None;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;358.99815340014175;None;360.2513753999956;360.5639950004406;360.5639950004406;360.58032440021634;360.58032440021634;360.61527850013226;360.61527850013226;None;8;0;0.8383227000012994;360.61527850013226;None;362.11708470014855;None;['8'];[0.592451199889183];362.11708470014855;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;365.11627500038594;None;366.76832790020853;367.05867619998753;367.05867619998753;367.2081534001045;367.2081534001045;367.2488676002249;367.2488676002249;None;9;0;0.6368527999147773;367.2488676002249;None;368.74893190013245;None;['7'];[0.6727920998819172];368.74893190013245;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;371.7493750001304;None;372.89289250038564;373.1837239000015;373.1837239000015;373.33323840005323;373.33323840005323;373.3741101003252;373.3741101003252;None;8;1;0.6234773998148739;373.3741101003252;None;374.87397040007636;None;['7'];[0.5157101000659168];374.87397040007636;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;378.9189344001934;None;380.9102203003131;381.19996170001104;381.19996170001104;381.3500475003384;381.3500475003384;381.3909889003262;381.3909889003262;None;9;0;0.3986609000712633;381.3909889003262;None;382.89148090034723;None;['7'];[0.5062068998813629];382.89148090034723;None;377.87440640013665;None;None;None;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;385.89201150042936;None;387.74508670018986;388.034025200177;388.034025200177;388.0502357999794;388.0502357999794;388.0910353004001;388.0910353004001;None;9;1;0.642508499789983;388.0910353004001;None;389.5910830004141;None;['8'];[0.26259549986571074];389.5910830004141;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;392.5923312003724;None;393.7720131999813;394.0671532000415;394.0671532000415;394.0837538000196;394.0837538000196;394.1245763003826;394.1245763003826;None;8;0;1.0650784997269511;394.1245763003826;None;395.62457310035825;None;['8'];[0.4929800000973046];395.62457310035825;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;398.6253418000415;None;400.2841215003282;400.5761432000436;400.5761432000436;400.5919548003003;400.5919548003003;400.6329413000494;400.6329413000494;None;8;0;0.5726327998563647;400.6329413000494;None;402.1328362002969;None;['7'];[0.4328842000104487];402.1328362002969;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;405.1331918002106;None;406.4401632002555;406.73406600020826;406.73406600020826;406.7589327003807;406.7589327003807;406.7996424003504;406.7996424003504;None;7;0;0.7899728002958;406.7996424003504;None;408.300003700424;None;['8'];[0.23365209996700287];408.300003700424;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;411.3007829003036;None;413.1066895001568;413.4011072004214;413.4011072004214;413.41743400041014;413.41743400041014;413.4581658001989;413.4581658001989;None;9;1;0.5955558000132442;413.4581658001989;None;414.95819390006363;None;['8'];[0.22336139995604753];414.95819390006363;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;417.9591247001663;None;419.9587612003088;420.25115620018914;420.25115620018914;420.25931430002674;420.25931430002674;420.29998560016975;420.29998560016975;None;None;0;;420.29998560016975;None;421.80006420006976;None;['9'];[0.3656431999988854];421.80006420006976;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;424.8004509001039;None;426.8145649000071;427.10990240005776;427.10990240005776;427.2594264000654;427.2594264000654;427.3002137001604;427.3002137001604;None;8;1;0.465455399826169;427.3002137001604;None;428.80031650001183;None;['7'];[0.3013087003491819];428.80031650001183;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
