Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150.26246600000013;155.2358463999999;155.2358463999999;None;6;34.25172729999986;150.26246600000013;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;184.5964469999999;None;185.88770239999985;186.19729049999978;186.19729049999978;186.22659669999985;186.22659669999985;186.2601227;186.2601227;None;None;0;186.2601227;None;187.7617565999999;None;['8'];[2.5684445000001688];187.7617565999999;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;190.7613126000001;None;192.41346250000015;192.70332039999994;192.70332039999994;192.85287789999984;192.85287789999984;192.89355369999976;192.89355369999976;None;None;0;192.89355369999976;None;194.3937209999999;None;['7'];[2.8244346000001315];194.3937209999999;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;197.39381249999997;None;198.5364970999999;198.82864440000003;198.82864440000003;198.97796310000012;198.97796310000012;199.01875979999977;199.01875979999977;None;None;0;199.01875979999977;None;200.51897599999984;None;['7'];[0.10716470000033951];200.51897599999984;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;204.56681909999998;None;206.56147980000014;206.85320009999987;206.85320009999987;207.00318579999976;207.00318579999976;207.0439907;207.0439907;None;8;1;207.0439907;None;208.54480620000004;None;None;;208.54480620000004;None;203.51928480000015;None;None;None;0.9420097000001988;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;211.54466279999997;None;213.4280091999999;213.72032519999993;213.72032519999993;213.73658979999982;213.73658979999982;213.77737539999998;213.77737539999998;None;None;0;213.77737539999998;None;215.2773972;None;['8'];[0.6367909000000509];215.2773972;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;218.27817820000018;None;219.45734110000012;219.75364600000012;219.75364600000012;219.7700337000001;219.7700337000001;219.81092360000002;219.81092360000002;None;None;0;219.81092360000002;None;221.3110268999999;None;['8'];[0.603157900000042];221.3110268999999;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;224.31108540000014;None;225.93761210000002;226.22896889999993;226.22896889999993;226.24524840000004;226.24524840000004;226.28603999999996;226.28603999999996;None;None;0;226.28603999999996;None;227.78693369999974;None;None;;227.78693369999974;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;230.78602769999998;None;232.0901571999998;232.37861639999983;232.37861639999983;232.4034740000002;232.4034740000002;232.4445040999999;232.4445040999999;None;None;0;232.4445040999999;None;233.94573619999983;None;['9'];[1.0084481999997479];233.94573619999983;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;236.94519050000008;None;238.75269609999987;239.0456767999999;239.0456767999999;239.0620101999998;239.0620101999998;239.10291700000016;239.10291700000016;None;None;0;239.10291700000016;None;240.60298479999983;None;['9'];[1.1032543999999689];240.60298479999983;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;243.60309629999983;None;245.59879300000011;245.88728600000013;245.88728600000013;245.8954101999998;245.8954101999998;245.93632100000013;245.93632100000013;None;None;0;245.93632100000013;None;247.4362046000001;None;['9'];[0.6937791999998808];247.4362046000001;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;250.43694000000005;None;252.46512299999995;252.75457920000008;252.75457920000008;252.90394990000004;252.90394990000004;252.9448324;252.9448324;None;8;1;252.9448324;None;254.4457096000001;None;['7'];[0.6843775000002097];254.4457096000001;None;;;;;0.8812821999999869;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;257.4456476999999;None;259.44061869999996;259.7294326000001;259.7294326000001;259.7374568;259.7374568;259.7782708;259.7782708;None;None;0;259.7782708;None;261.27832469999976;None;['9'];[1.0437403999999333];261.27832469999976;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;264.2784074000001;None;265.96274200000016;266.2548203000001;266.2548203000001;266.27922320000016;266.27922320000016;266.32005879999997;266.32005879999997;None;9;0;266.32005879999997;None;267.8200984;None;['7'];[0.5818315000001348];267.8200984;None;;;;;1.1860867999998845;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;270.82122249999975;None;272.08191529999976;272.37110870000015;272.37110870000015;272.5210397999999;272.5210397999999;272.5619293;272.5619293;None;9;0;272.5619293;None;274.06198289999975;None;['7'];[1.204016600000159];274.06198289999975;None;;;;;1.1039248000001862;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;277.0622695000002;None;279.0566503;279.3463049000002;279.3463049000002;279.3543252999998;279.3543252999998;279.39552030000004;279.39552030000004;None;None;0;279.39552030000004;None;280.8953164999998;None;['9'];[0.6826584999998886];280.8953164999998;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
