Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.393524899999647;33.36621370000012;33.36621370000012;None;7;15.04178100000081;28.393524899999647;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;43.469546000000264;None;44.75730040000053;45.07010319999972;45.07010319999972;45.10009650000029;45.10009650000029;45.133011500000066;45.133011500000066;None;None;0;45.133011500000066;None;46.634389400000146;None;"['7', '7']";"[0.10509900000033667, 1.633088499999758]";46.634389400000146;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;49.633315400000356;None;51.28057530000024;51.57586309999988;51.57586309999988;51.725172000000384;51.725172000000384;51.7660992000001;51.7660992000001;None;9;0;51.7660992000001;None;53.266599900000074;None;['7'];[0.8567935999999463];53.266599900000074;None;1.3012779999999111;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;56.26614560000053;None;57.40424150000035;57.70090059999984;57.70090059999984;57.85023420000016;57.85023420000016;57.89115070000025;57.89115070000025;None;8;1;57.89115070000025;None;59.39115599999968;None;['7'];[1.2683851000001596];59.39115599999968;None;0.6801636000000144;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;63.424097099999926;None;65.42315899999994;65.71739989999969;65.71739989999969;65.86712480000006;65.86712480000006;65.90798150000046;65.90798150000046;None;9;0;65.90798150000046;None;67.40884920000008;None;['7'];[1.0664970000007088];67.40884920000008;None;0.9914927999998326;62.39153979999992;None;None;None;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;70.40888650000034;None;72.27378450000015;72.56790189999992;72.56790189999992;72.58393290000004;72.58393290000004;72.62477829999989;72.62477829999989;None;None;0;72.62477829999989;None;74.12480589999996;None;['9'];[1.0786195999999109];74.12480589999996;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;77.12482629999977;None;78.30149170000004;78.59258539999973;78.59258539999973;78.60911589999978;78.60911589999978;78.64999919999991;78.64999919999991;None;9;1;78.64999919999991;None;80.14991139999984;None;"['7', '8']";"[0.8934691999993447, 2.933492999999544]";80.14991139999984;None;1.305409100000361;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;83.1507317000005;None;84.8042645000005;85.09309389999999;85.09309389999999;85.10916389999966;85.10916389999966;85.15012699999988;85.15012699999988;None;None;0;85.15012699999988;None;86.65008409999973;None;['9'];[0.9933264999999665];86.65008409999973;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;89.65125970000008;None;90.95071590000043;91.24265869999999;91.24265869999999;91.26775100000032;91.26775100000032;91.30855020000035;91.30855020000035;None;8;1;91.30855020000035;None;92.80852219999997;None;['8'];[1.9549055999996199];92.80852219999997;None;1.2468487999994977;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;95.80913950000013;None;97.61633280000024;97.90975230000004;97.90975230000004;97.92608579999978;97.92608579999978;97.96688259999974;97.96688259999974;None;None;0;97.96688259999974;None;99.46689059999972;None;['9'];[1.1284745000002658];99.46689059999972;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
