Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;268.23731059999955;273.2049379;273.2049379;None;space;15.251176800000394;268.23731059999955;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;283.5573870999997;None;284.80653470000107;285.1163979000012;285.1163979000012;285.13468680000005;285.13468680000005;285.1704891999998;285.1704891999998;None;None;0;285.1704891999998;None;286.67196090000107;None;['9'];[2.440659699999742];286.67196090000107;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;289.6716913;None;291.31896100000085;291.61382760000015;291.61382760000015;291.76308340000105;291.76308340000105;291.80399800000123;291.80399800000123;None;None;0;291.80399800000123;None;293.3041279000008;None;['9'];[1.92014460000064];293.3041279000008;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;296.3050084000006;None;297.4428970000008;297.73890140000003;297.73890140000003;297.8884242000004;297.8884242000004;297.92917880000095;297.92917880000095;None;None;0;297.92917880000095;None;299.429128400001;None;['9'];[1.795414599999276];299.429128400001;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;303.47095679999984;None;305.46373459999995;305.7553246999996;305.7553246999996;305.90522630000123;305.90522630000123;305.9458699000006;305.9458699000006;None;None;0;305.9458699000006;None;307.44699910000054;None;"['9', '7']";"[0.12950799999998708, 1.9374468000005436]";307.44699910000054;None;302.4297243000001;None;None;None;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;310.44770940000126;None;312.28687549999995;312.5807482;312.5807482;312.59696690000055;312.59696690000055;312.6379558999997;312.6379558999997;None;None;0;312.6379558999997;None;314.1377809000005;None;['9'];[1.1826636000005237];314.1377809000005;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;317.1381450000008;None;318.3196065000011;318.6138965000009;318.6138965000009;318.63038360000064;318.63038360000064;318.67148540000017;318.67148540000017;None;None;0;318.67148540000017;None;320.1713610000006;None;['9'];[0.5968983000002481];320.1713610000006;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;323.1714071000006;None;324.7952234000004;325.08936820000054;325.08936820000054;325.10555320000094;325.10555320000094;325.1464410000008;325.1464410000008;None;None;0;325.1464410000008;None;326.6464252000005;None;['9'];[0.6098674999993818];326.6464252000005;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;329.6465083000003;None;330.95811270000013;331.24759559999984;331.24759559999984;331.27225420000104;331.27225420000104;331.3131463999998;331.3131463999998;None;None;0;331.3131463999998;None;332.8131473000012;None;['9'];[0.6833058000011079];332.8131473000012;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;335.81416960000024;None;337.6212570000007;337.9143624999997;337.9143624999997;337.93076400000064;337.93076400000064;337.9716189999999;337.9716189999999;None;None;0;337.9716189999999;None;339.4718154000002;None;['9'];[0.7526729999990494];339.4718154000002;None;;;;;;;;Emoconpilot042;2022_Jan_07_1403;BackwardMask;2020.2.8;120.16183395838074;
