Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.332937700000002;23.30411359999971;23.30411359999971;None;7;15.20843190000005;18.332937700000002;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;33.617691099999774;None;34.88518339999973;35.203327199999876;35.203327199999876;35.23655239999971;35.23655239999971;35.26943839999967;35.26943839999967;None;7;0;0.8718549999998686;35.26943839999967;None;36.77094609999995;None;['8'];[1.578339600000163];36.77094609999995;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;39.770712699999876;None;41.4213321999996;41.713158699999894;41.713158699999894;41.86247119999962;41.86247119999962;41.90328479999971;41.90328479999971;None;9;0;0.902104799999961;41.90328479999971;None;43.40381499999967;None;['7'];[1.137519500000053];43.40381499999967;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;46.40439049999986;None;47.54601579999962;47.83822959999998;47.83822959999998;47.987731599999734;47.987731599999734;48.02838380000003;48.02838380000003;None;8;1;0.8091620000000148;48.02838380000003;None;49.52863639999987;None;['7'];[0.3488514999999097];49.52863639999987;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;53.573787999999695;None;55.56454489999987;55.854773699999896;55.854773699999896;56.0044997;56.0044997;56.04518829999961;56.04518829999961;None;9;0;0.7602067000002535;56.04518829999961;None;57.54613139999992;None;['7'];[0.33937169999990147];57.54613139999992;None;52.52912259999994;None;None;None;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;60.546084099999916;None;62.40324049999981;62.69675649999999;62.69675649999999;62.712856699999975;62.712856699999975;62.75382300000001;62.75382300000001;None;None;0;;62.75382300000001;None;64.25383729999976;None;['9'];[0.583617399999639];64.25383729999976;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;67.25471959999959;None;68.4286503999997;68.72160080000003;68.72160080000003;68.73802799999976;68.73802799999976;68.77869859999964;68.77869859999964;None;9;1;0.5787467999998626;68.77869859999964;None;70.27888529999973;None;['8'];[0.23831160000008822];70.27888529999973;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;73.27906609999991;None;74.90907040000002;75.20535249999966;75.20535249999966;75.22148249999964;75.22148249999964;75.26226449999967;75.26226449999967;None;None;0;;75.26226449999967;None;76.7623435999999;None;['9'];[0.3471118999996179];76.7623435999999;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;79.76260460000003;None;81.06247919999987;81.3555225;81.3555225;81.38006869999981;81.38006869999981;81.42089559999977;81.42089559999977;None;7;0;0.6963263000002371;81.42089559999977;None;82.92080420000002;None;['8'];[0.24461220000011963];82.92080420000002;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;85.92210269999987;None;87.72890149999967;88.02174209999976;88.02174209999976;88.03853249999975;88.03853249999975;88.07944029999999;88.07944029999999;None;9;1;0.8059627000002365;88.07944029999999;None;89.58005049999974;None;['8'];[0.3053957000001901];89.58005049999974;None;;;;;;;Emoconpilot046;2022_Jan_07_1217;BackwardMask;2020.2.8;120.1534599994396;
