Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;key_resp_Rating.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.258058999999776;21.22630549999849;21.22630549999849;None;7;12.879920899998979;16.258058999999776;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;29.170321199999307;None;30.416148799999064;30.73078219999843;30.73078219999843;30.752264299999297;30.752264299999297;30.785210599999118;30.785210599999118;None;None;0;30.785210599999118;None;32.28587100000004;None;None;32.28587100000004;None;;;;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;35.285727399999814;None;36.933656999999585;37.227292800000214;37.227292800000214;37.3766416999988;37.3766416999988;37.41765639999903;37.41765639999903;None;9;0;37.41765639999903;None;38.91758200000004;None;['7'];38.91758200000004;None;0.7282185000003665;[0.476290999999037];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;41.91775889999917;None;43.055595199999516;43.34404539999923;43.34404539999923;43.49353639999936;43.49353639999936;43.53438889999961;43.53438889999961;None;8;1;43.53438889999961;None;45.034412599999996;None;['7'];45.034412599999996;None;0.451383600000554;[0.4074728000014147];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;49.066092999999455;None;51.056175199999416;51.35236609999993;51.35236609999993;51.50218399999903;51.50218399999903;51.543522899999516;51.543522899999516;None;9;0;51.543522899999516;None;53.043705000000045;None;['7'];53.043705000000045;None;0.45037740000043414;[0.35030819999883533];48.035782400000244;None;None;None;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;56.043705500000215;None;57.91116489999877;58.202697999999145;58.202697999999145;58.21890449999955;58.21890449999955;58.2594382999996;58.2594382999996;None;None;0;58.2594382999996;None;59.75957559999915;None;['9'];59.75957559999915;None;;[0.45843169999898237];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;62.759623799998735;None;63.935351599999194;64.22759319999932;64.22759319999932;64.2438889999994;64.2438889999994;64.28452759999891;64.28452759999891;None;None;0;64.28452759999891;None;65.78466169999956;None;['9'];65.78466169999956;None;;[0.4170573000010336];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;68.78507919999902;None;70.40895769999952;70.7028410999992;70.7028410999992;70.71892339999977;70.71892339999977;70.75952019999932;70.75952019999932;None;9;1;70.75952019999932;None;72.2600182999995;None;['8'];72.2600182999995;None;1.0021962000009808;[0.37381120000100054];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;75.26010449999922;None;76.56353219999983;76.85248409999986;76.85248409999986;76.87739879999936;76.87739879999936;76.91798000000017;76.91798000000017;None;7;0;76.91798000000017;None;78.41817169999922;None;['7'];78.41817169999922;None;0.8438111000014032;[0.2875146999995195];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;81.4183342999986;None;83.22722160000012;83.51926039999853;83.51926039999853;83.53585839999869;83.53585839999869;83.57651359999909;83.57651359999909;None;9;1;83.57651359999909;None;85.07664049999948;None;['8'];85.07664049999948;None;0.9292397999997775;[0.30906640000102925];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;040_y_f_s_a.jpg;sad;7;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;6;6;6;;;;;;;;;88.0767595999987;None;90.06803119999859;90.36106329999893;90.36106329999893;90.36921979999897;90.36921979999897;90.40992449999976;90.40992449999976;None;None;0;90.40992449999976;None;91.9100097999999;None;['9'];91.9100097999999;None;;[0.3716767999994772];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;033_o_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;18;238;block1_Pilot_2;33;n_n;n_n_weak;;;;;0;0;0;0;0;7;7;7;;;;;;;;;94.91021759999967;None;96.93080229999941;97.22012099999847;97.22012099999847;97.36934079999992;97.36934079999992;97.41025199999967;97.41025199999967;None;8;1;97.41025199999967;None;98.91020049999861;None;['7'];98.91020049999861;None;0.6156087999988813;[0.38750570000047446];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;040_y_f_h_a.jpg;happy;9;19;f;019_m_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;1;238;block1_Pilot_2;40;h_n;h_n_strong;;;;;0;0;0;0;0;8;8;8;;;;;;;;;101.91110010000011;None;103.90257479999855;104.19489859999885;104.19489859999885;104.20284840000022;104.20284840000022;104.2438678999988;104.2438678999988;None;None;0;104.2438678999988;None;105.74409589999959;None;['9'];105.74409589999959;None;;[0.393792000000758];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;013_y_m_h_a.jpg;happy;9;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;3;198;block1_Pilot_2;13;h_s;h_s_weak;;;;;0;0;0;0;0;9;9;9;;;;;;;;;108.74524930000007;None;110.44478119999985;110.73714319999999;110.73714319999999;110.76164299999982;110.76164299999982;110.8023921999993;110.8023921999993;None;9;0;110.8023921999993;None;112.30243199999859;None;['7'];112.30243199999859;None;0.607496299999184;[0.29948700000022654];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;008_y_m_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;150;block1_Pilot_2;8;h_n;h_n_strong;;;;;0;0;0;0;0;10;10;10;;;;;;;;;115.30269869999938;None;116.5601545999998;116.85353679999935;116.85353679999935;117.003378899999;117.003378899999;117.04430839999986;117.04430839999986;None;9;0;117.04430839999986;None;118.54419509999934;None;['7'];118.54419509999934;None;0.4214327999998204;[0.3216783999996551];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;019_m_f_h_a.jpg;happy;9;27;m;027_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;1;238;block1_Pilot_2;19;h_s;h_s_weak;;;;;0;0;0;0;0;11;11;11;;;;;;;;;121.54514709999967;None;123.53582779999851;123.82870399999956;123.82870399999956;123.83687680000003;123.83687680000003;123.87782349999907;123.87782349999907;None;None;0;123.87782349999907;None;125.37781600000017;None;['9'];125.37781600000017;None;;[0.464090400000714];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;016_y_m_s_a.jpg;sad;7;4;m;004_o_m_s_a.jpg;sad;congruent;7;match;;130;160;;18;142;block1_Pilot_2;16;s_s;s_s_strong;;;;;0;0;0;0;0;12;12;12;;;;;;;;;128.37791019999895;None;129.56873879999875;129.86210519999986;129.86210519999986;130.0119496999996;130.0119496999996;130.05297169999903;130.05297169999903;None;7;1;130.05297169999903;None;131.5528435999986;None;['7'];131.5528435999986;None;0.4768888999988121;[0.36903979999988223];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;021_o_f_n_a.jpg;neutral;8;21;f;021_o_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;171;block1_Pilot_2;21;n_h;n_h_weak;;;;;0;0;0;0;0;13;13;13;;;;;;;;;134.55434859999878;None;135.99992969999948;136.29617189999954;136.29617189999954;136.32040609999967;136.32040609999967;136.3612916000002;136.3612916000002;None;7;0;136.3612916000002;None;137.86144859999877;None;['8'];137.86144859999877;None;0.8245432000003348;[0.37249030000020866];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;012_o_f_h_a.jpg;happy;9;13;m;013_y_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;3;213;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;14;14;14;;;;;;;;;140.86227979999967;None;142.64447649999966;142.93737689999944;142.93737689999944;142.96205649999865;142.96205649999865;143.00318119999974;143.00318119999974;None;9;1;143.00318119999974;None;144.50309449999986;None;['7'];144.50309449999986;None;0.5187029999997321;[0.27471780000087165];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;021_o_f_s_a.jpg;sad;7;27;m;027_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;174;block1_Pilot_2;21;s_n;s_n_weak;;;;;0;0;0;0;0;15;15;15;;;;;;;;;147.50354530000004;None;148.95915929999865;149.25438049999866;149.25438049999866;149.27908099999877;149.27908099999877;149.31978139999956;149.31978139999956;None;7;0;149.31978139999956;None;150.8200025999995;None;['8'];150.8200025999995;None;0.8820660000001226;[0.29372909999983676];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;153.82100639999953;None;155.84209829999963;156.13796430000002;156.13796430000002;156.16247399999884;156.16247399999884;156.20329489999858;156.20329489999858;None;8;0;156.20329489999858;None;157.70370790000015;None;['7'];157.70370790000015;None;0.646534999999858;[0.36211370000091847];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;160.70427329999984;None;162.54910719999862;162.83806599999843;162.83806599999843;162.987616299999;162.987616299999;163.02852359999997;163.02852359999997;None;8;0;163.02852359999997;None;164.5286785999997;None;['7'];164.5286785999997;None;0.549265399999058;[0.329042200000913];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;167.52862139999888;None;169.0034625999997;169.29623009999887;169.29623009999887;169.32109129999844;169.32109129999844;169.3619663999998;169.3619663999998;None;9;0;169.3619663999998;None;170.8622378;None;['7'];170.8622378;None;0.4796762999994826;[0.2436712999988231];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;173.86221589999877;None;175.00234490000003;175.29634179999994;175.29634179999994;175.4462410999986;175.4462410999986;175.4871461999992;175.4871461999992;None;9;0;175.4871461999992;None;176.98708439999973;None;['7'];176.98708439999973;None;0.37873039999976754;[0.28677869999955874];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;179.98757609999848;None;181.10918999999922;181.40521369999988;181.40521369999988;181.42129639999985;181.42129639999985;181.46231709999847;181.46231709999847;None;8;0;181.46231709999847;None;182.96234249999907;None;['8'];182.96234249999907;None;0.8275319000003947;[0.3196041999999579];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;185.9631258999998;None;187.42865429999983;187.72162109999954;187.72162109999954;187.73813549999977;187.73813549999977;187.7790487000002;187.7790487000002;None;8;0;187.7790487000002;None;189.2791058999992;None;['8'];189.2791058999992;None;0.7507942000011099;[0.26679650000005495];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;192.27917639999941;None;193.9330966999987;194.2221656999991;194.2221656999991;194.23818669999855;194.23818669999855;194.279181599999;194.279181599999;None;None;0;194.279181599999;None;195.77915849999954;None;['9'];195.77915849999954;None;;[0.36668939999981376];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;198.7801290999996;None;199.8401613999995;200.13044009999976;200.13044009999976;200.14689219999855;200.14689219999855;200.18764179999926;200.18764179999926;None;8;1;200.18764179999926;None;201.68757860000005;None;['8'];201.68757860000005;None;0.6540268999997352;[0.4981118999985483];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;204.687604499999;None;205.92728290000014;206.2224067999996;206.2224067999996;206.2469573999988;206.2469573999988;206.28783509999994;206.28783509999994;None;9;0;206.28783509999994;None;207.78770029999941;None;['7'];207.78770029999941;None;0.5140576000012516;[0.3180463000007876];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;210.78783759999897;None;211.90728649999983;212.19751309999992;212.19751309999992;212.22197439999945;212.22197439999945;212.26273069999843;212.26273069999843;None;7;0;212.26273069999843;None;213.76278169999932;None;['7'];213.76278169999932;None;0.5949835000010353;[0.32710899999983667];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;216.76310589999957;None;217.80778539999847;218.09778389999883;218.09778389999883;218.11381679999977;218.11381679999977;218.15455370000018;218.15455370000018;None;8;0;218.15455370000018;None;219.65460059999896;None;['8'];219.65460059999896;None;0.8392433999997593;[0.3151729000001069];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;222.65460539999913;None;224.01351149999937;224.3058050999989;224.3058050999989;224.3306037000002;224.3306037000002;224.37155399999938;224.37155399999938;None;7;1;224.37155399999938;None;225.8714248999986;None;['7'];225.8714248999986;None;0.8143049999998766;[0.3783323999996355];;;;;;;Emoconpilot047;2022_Jan_07_1536;BackwardMask;2020.2.8;120.10021161764243;
