Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.rt,key_resp_Rating.started,key_resp_Rating.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.34173940000005,140.3038944000001,140.3038944000001,None,7,21.834105000000022,135.34173940000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
2,f,1113_y_f_s_a.jpg,sad,7,1,m,1111_m_m_h_a.jpg,happy,incongruent,9,mix,s+h,130,150,1,2,148,,,,,0,0,0,0,,,,,,,,,,,,,,,,,157.28485420000004,None,158.60918550000008,158.9267059,158.9267059,158.96034580000003,158.96034580000003,158.99421210000003,158.99421210000003,None,None,0,158.99421210000003,None,160.49491390000003,None,['8'],[1.2164757000000463],160.49491390000003,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
2,f,1111_m_m_h_a.jpg,happy,9,3,f,1113_y_f_s_a.jpg,sad,incongruent,7,mix,h+s,120,160,9,18,195,,,,,0,1,1,1,,,,,,,,,,,,,,,,,163.4957406000001,None,165.14655090000008,165.437995,165.437995,165.58728930000007,165.58728930000007,165.62779970000008,165.62779970000008,None,None,0,165.62779970000008,None,167.12819560000003,None,"['9', '7']","[0.03959609999992608, 2.631286599999953]",167.12819560000003,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
2,f,1112_m_f_n_a.jpg,neutral,8,2,f,1112_m_f_n_a.jpg,neutral,congruent,8,match,n+n,140,170,9,18,134,,,,,0,2,2,2,,,,,,,,,,,,,,,,,170.1288909000001,None,171.2737707,171.5630189000001,171.5630189000001,171.71225560000005,171.71225560000005,171.75381750000008,171.75381750000008,None,None,0,171.75381750000008,None,173.25328750000006,None,"['7', '7']","[0.010112000000049193, 2.170071300000018]",173.25328750000006,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,033_o_m_h_a.jpg,happy,9,30,f,030_o_f_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,18,238,block1_Pilot_2,33,h_n,h_n_strong,,,,,0,0,0,0,0,0,0,0,,,,,,,,,177.30864240000005,None,179.30862280000008,179.60419530000001,179.60419530000001,179.75392020000004,179.75392020000004,179.79465900000002,179.79465900000002,None,9,0,179.79465900000002,None,181.29502520000005,None,['7'],[0.7123454000000038],181.29502520000005,None,176.25326630000006,None,None,None,0.6528366999999662,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,004_o_m_h_a.jpg,happy,9,12,f,012_o_f_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,218,block1_Pilot_2,4,h_h,h_h_weak,,,,,0,0,0,0,0,1,1,1,,,,,,,,,184.29518380000002,None,186.16882570000007,186.4632210000001,186.4632210000001,186.4792569000001,186.4792569000001,186.52048710000008,186.52048710000008,None,None,0,186.52048710000008,None,188.02115270000002,None,['9'],[0.3303215999999338],188.02115270000002,None,,,,,,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,012_o_f_h_a.jpg,happy,9,33,m,033_o_m_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,140,block1_Pilot_2,12,h_h,h_h_weak,,,,,0,0,0,0,0,2,2,2,,,,,,,,,191.0203792000001,None,192.2026132000001,192.4963629,192.4963629,192.51269810000008,192.51269810000008,192.55324810000002,192.55324810000002,None,9,1,192.55324810000002,None,194.0534745000001,None,None,,194.0534745000001,None,,,,,1.1823082000000795,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,040_y_f_n_a.jpg,neutral,8,40,f,040_y_f_h_a.jpg,happy,incongruent,9,match,,140,150,,2,192,block1_Pilot_2,40,n_h,n_h_weak,,,,,0,0,0,0,0,3,3,3,,,,,,,,,197.0537868,None,198.7250371,199.01366900000005,199.01366900000005,199.02989850000006,199.02989850000006,199.0701725,199.0701725,None,9,1,199.0701725,None,200.5701567000001,None,['7'],[0.48526809999998477],200.5701567000001,None,,,,,1.033382999999958,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,m,013_y_m_s_a.jpg,sad,7,16,m,016_y_m_n_a.jpg,neutral,incongruent,8,match,,130,170,,3,155,block1_Pilot_2,13,s_n,s_n_weak,,,,,0,0,0,0,0,4,4,4,,,,,,,,,203.57097770000007,None,204.8761009000001,205.17136390000007,205.17136390000007,205.19638650000002,205.19638650000002,205.2368861000001,205.2368861000001,None,7,0,205.2368861000001,None,206.7372474,None,['7'],[1.3181485000000066],206.7372474,None,,,,,1.2906116000000338,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
,f,012_o_f_h_a.jpg,happy,9,21,f,021_o_f_h_a.jpg,happy,congruent,9,match,,120,150,,2,216,block1_Pilot_2,12,h_h,h_h_strong,,,,,0,0,0,0,0,5,5,5,,,,,,,,,209.73724370000002,None,211.54662370000005,211.83825230000002,211.83825230000002,211.85451410000007,211.85451410000007,211.89542970000002,211.89542970000002,None,9,1,211.89542970000002,None,213.3955059000001,None,['7'],[0.7720469999999295],213.3955059000001,None,,,,,1.1519902999999658,Emoconpilot027,2021_Oct_27_1229,BackwardMask,2020.2.8,119.66446085174819,
