Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.started,key_resp_Rating.stopped,key_resp_Rating.rt,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.7842086001765,170.75763800018467,170.75763800018467,None,7,21.805386299965903,165.7842086001765,None,,,,,,,,,,,,,,,,,,,,,,,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
2,f,1113_y_f_s_a.jpg,sad,7,1,m,1111_m_m_h_a.jpg,happy,incongruent,9,mix,s+h,130,150,1,2,148,,,,,0,0,0,0,,,,,,,,,,,,,,,,,187.63319010008126,None,188.88135060016066,189.19675740017556,189.19675740017556,189.21523250010796,189.21523250010796,189.2487165001221,189.2487165001221,None,7,0,1.4205872002057731,189.2487165001221,None,190.74944470007904,None,None,190.74944470007904,None,,,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
2,f,1111_m_m_h_a.jpg,happy,9,3,f,1113_y_f_s_a.jpg,sad,incongruent,7,mix,h+s,120,160,9,18,195,,,,,0,1,1,1,,,,,,,,,,,,,,,,,193.74893160001375,None,195.39326860010624,195.68273090012372,195.68273090012372,195.8323278001044,195.8323278001044,195.8731582001783,195.8731582001783,None,None,0,,195.8731582001783,None,197.3730655000545,None,None,197.3730655000545,None,,,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
2,f,1112_m_f_n_a.jpg,neutral,8,2,f,1112_m_f_n_a.jpg,neutral,congruent,8,match,n+n,140,170,9,18,134,,,,,0,2,2,2,,,,,,,,,,,,,,,,,200.3732094001025,None,201.51111010019667,201.8078942000866,201.8078942000866,201.9570033000782,201.9570033000782,201.9980285000056,201.9980285000056,None,8,1,0.7754814999643713,201.9980285000056,None,203.49810690013692,None,['7'],203.49810690013692,None,[2.027364799985662],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,033_o_m_h_a.jpg,happy,9,30,f,030_o_f_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,18,238,block1_Pilot_2,33,h_n,h_n_strong,,,,,0,0,0,0,0,0,0,0,,,,,,,,,207.53614920005202,None,209.53082230011933,209.82425660011359,209.82425660011359,209.97402040008456,209.97402040008456,210.01497670006938,210.01497670006938,None,9,0,0.7905311998911202,210.01497670006938,None,211.51585349999368,None,['7'],211.51585349999368,None,[1.4816786001902074],206.4985553000588,None,None,None,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,004_o_m_h_a.jpg,happy,9,12,f,012_o_f_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,218,block1_Pilot_2,4,h_h,h_h_weak,,,,,0,0,0,0,0,1,1,1,,,,,,,,,214.5160542000085,None,216.36367760016583,216.65790750016458,216.65790750016458,216.6739710001275,216.6739710001275,216.7151667000726,216.7151667000726,None,9,1,0.826153599889949,216.7151667000726,None,218.21515870001167,None,['7'],218.21515870001167,None,[0.9422687999904156],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_h_a.jpg,happy,9,33,m,033_o_m_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,140,block1_Pilot_2,12,h_h,h_h_weak,,,,,0,0,0,0,0,2,2,2,,,,,,,,,221.21610389999114,None,222.39198910002597,222.6828748001717,222.6828748001717,222.6993704000488,222.6993704000488,222.74029410001822,222.74029410001822,None,None,0,,222.74029410001822,None,224.24042410007678,None,['8'],224.24042410007678,None,[1.613004099810496],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_n_a.jpg,neutral,8,40,f,040_y_f_h_a.jpg,happy,incongruent,9,match,,140,150,,2,192,block1_Pilot_2,40,n_h,n_h_weak,,,,,0,0,0,0,0,3,3,3,,,,,,,,,227.24023120012134,None,228.86708760005422,229.15839430014603,229.15839430014603,229.1748473001644,229.1748473001644,229.2153915001545,229.2153915001545,None,None,0,,229.2153915001545,None,230.71578660001978,None,['8'],230.71578660001978,None,[0.8977140001952648],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_s_a.jpg,sad,7,16,m,016_y_m_n_a.jpg,neutral,incongruent,8,match,,130,170,,3,155,block1_Pilot_2,13,s_n,s_n_weak,,,,,0,0,0,0,0,4,4,4,,,,,,,,,233.7158777001314,None,235.0175193999894,235.3082608000841,235.3082608000841,235.33275349996984,235.33275349996984,235.37382950005122,235.37382950005122,None,7,0,1.1996909999288619,235.37382950005122,None,236.87375969998538,None,['7'],236.87375969998538,None,[1.9877389001194388],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_h_a.jpg,happy,9,21,f,021_o_f_h_a.jpg,happy,congruent,9,match,,120,150,,2,216,block1_Pilot_2,12,h_h,h_h_strong,,,,,0,0,0,0,0,5,5,5,,,,,,,,,239.87502500019036,None,241.68207460013218,241.97499090014026,241.97499090014026,241.99139650003053,241.99139650003053,242.03222200018354,242.03222200018354,None,9,1,0.9493703998159617,242.03222200018354,None,243.53218249999918,None,['7'],243.53218249999918,None,[0.521126699866727],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
