Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.rt,key_resp_Rating.started,key_resp_Rating.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.393835800001398,32.365893699927256,32.365893699927256,None,7,12.042364599998109,27.393835800001398,None,,,,,,,,,,,,,,,,,,,,,,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
2,f,1113_y_f_s_a.jpg,sad,7,1,m,1111_m_m_h_a.jpg,happy,incongruent,9,mix,s+h,130,150,1,2,148,,,,,0,0,0,0,,,,,,,,,,,,,,,,,39.46725449990481,None,40.71339369995985,41.02648619993124,41.02648619993124,41.04374829994049,41.04374829994049,41.076981199905276,41.076981199905276,None,8,0,0.7433131999569014,41.076981199905276,None,42.57390099996701,None,['8'],[1.166361300041899],42.57390099996701,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
2,f,1111_m_m_h_a.jpg,happy,9,3,f,1113_y_f_s_a.jpg,sad,incongruent,7,mix,h+s,120,160,9,18,195,,,,,0,1,1,1,,,,,,,,,,,,,,,,,45.57347669999581,None,47.218066899920814,47.50744819990359,47.50744819990359,47.65699940000195,47.65699940000195,47.69765749992803,47.69765749992803,None,7,1,0.7465402000816539,47.69765749992803,None,49.197836600011215,None,None,,49.197836600011215,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
2,f,1112_m_f_n_a.jpg,neutral,8,2,f,1112_m_f_n_a.jpg,neutral,congruent,8,match,n+n,140,170,9,18,134,,,,,0,2,2,2,,,,,,,,,,,,,,,,,52.19804309995379,None,53.3338911999017,53.624284499906935,53.624284499906935,53.773724199971184,53.773724199971184,53.8145658998983,53.8145658998983,None,8,1,0.8135767000494525,53.8145658998983,None,55.314370399923064,None,['7'],[0.46597500005736947],55.314370399923064,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,m,033_o_m_h_a.jpg,happy,9,30,f,030_o_f_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,18,238,block1_Pilot_2,33,h_n,h_n_strong,,,,,0,0,0,0,0,0,0,0,,,,,,,,,59.34641399991233,None,61.33625269995537,61.63245349994395,61.63245349994395,61.782323099905625,61.782323099905625,61.823014899971895,61.823014899971895,None,9,0,1.1331633999943733,61.823014899971895,None,63.32422559999395,None,['7'],[0.672054799972102],63.32422559999395,None,58.31534109998029,None,None,None,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,m,004_o_m_h_a.jpg,happy,9,12,f,012_o_f_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,218,block1_Pilot_2,4,h_h,h_h_weak,,,,,0,0,0,0,0,1,1,1,,,,,,,,,66.32404310000129,None,68.18357309990097,68.47473749995697,68.47473749995697,68.49066869996022,68.49066869996022,68.53148319991305,68.53148319991305,None,9,1,0.7687472000252455,68.53148319991305,None,70.03176189993974,None,['8'],[0.45246950001455843],70.03176189993974,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,012_o_f_h_a.jpg,happy,9,33,m,033_o_m_h_a.jpg,happy,congruent,9,mismatch,,120,150,,2,140,block1_Pilot_2,12,h_h,h_h_weak,,,,,0,0,0,0,0,2,2,2,,,,,,,,,73.03264809993561,None,74.20652449992485,74.49928009998985,74.49928009998985,74.51596999994945,74.51596999994945,74.55671679996885,74.55671679996885,None,9,1,0.6874381999950856,74.55671679996885,None,76.05651339993346,None,['8'],[0.3958437000401318],76.05651339993346,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,040_y_f_n_a.jpg,neutral,8,40,f,040_y_f_h_a.jpg,happy,incongruent,9,match,,140,150,,2,192,block1_Pilot_2,40,n_h,n_h_weak,,,,,0,0,0,0,0,3,3,3,,,,,,,,,79.05764559993986,None,80.69197929999791,80.98317819996737,80.98317819996737,80.99934709991794,80.99934709991794,81.04021179990377,81.04021179990377,None,8,0,0.7319123999914154,81.04021179990377,None,82.5402823999757,None,['8'],[0.7759706999640912],82.5402823999757,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,m,013_y_m_s_a.jpg,sad,7,16,m,016_y_m_n_a.jpg,neutral,incongruent,8,match,,130,170,,3,155,block1_Pilot_2,13,s_n,s_n_weak,,,,,0,0,0,0,0,4,4,4,,,,,,,,,85.54115049995016,None,86.8411303999601,87.13286999997217,87.13286999997217,87.15774479997344,87.15774479997344,87.19863130000886,87.19863130000886,None,7,0,0.813581700087525,87.19863130000886,None,88.69894419994671,None,['8'],[0.3853487999876961],88.69894419994671,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
,f,012_o_f_h_a.jpg,happy,9,21,f,021_o_f_h_a.jpg,happy,congruent,9,match,,120,150,,2,216,block1_Pilot_2,12,h_h,h_h_strong,,,,,0,0,0,0,0,5,5,5,,,,,,,,,91.69944889994804,None,93.50591770000756,93.79968529997859,93.79968529997859,93.8162919000024,93.8162919000024,93.85702070000116,93.85702070000116,None,9,1,0.6833783999318257,93.85702070000116,None,95.35706849989947,None,['8'],[0.5431455000070855],95.35706849989947,None,,,,,Emoconpilot033,2021_Nov_02_1523,BackwardMask,2020.2.8,120.34852936094606,
