Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.724228700157255;29.69227400003001;29.69227400003001;None;f9;23.347037799889222;24.724228700157255;None;;;;;;;;;;;;;;;;;;;;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
2;f;1113_y_f_s_a.jpg;sad;7;1;m;1111_m_m_h_a.jpg;happy;incongruent;9;mix;s+h;130;150;1;2;148;;;;;0;0;0;0;;;;;;;;;;;;;;;;;48.123010700102895;None;49.37544410000555;49.69001550017856;49.69001550017856;49.70874930010177;49.70874930010177;49.741640600143;49.741640600143;None;None;0;49.741640600143;None;51.2427228000015;None;None;51.2427228000015;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
2;f;1111_m_m_h_a.jpg;happy;9;3;f;1113_y_f_s_a.jpg;sad;incongruent;7;mix;h+s;120;160;9;18;195;;;;;0;1;1;1;;;;;;;;;;;;;;;;;54.242252400144935;None;55.88953480008058;56.18452400015667;56.18452400015667;56.33412930020131;56.33412930020131;56.374749100068584;56.374749100068584;None;None;0;56.374749100068584;None;57.87486800015904;None;None;57.87486800015904;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
2;f;1112_m_f_n_a.jpg;neutral;8;2;f;1112_m_f_n_a.jpg;neutral;congruent;8;match;n+n;140;170;9;18;134;;;;;0;2;2;2;;;;;;;;;;;;;;;;;60.87517370004207;None;62.01603850000538;62.30982130020857;62.30982130020857;62.45916740014218;62.45916740014218;62.49994630017318;62.49994630017318;None;None;0;62.49994630017318;None;64.00009010010399;None;None;64.00009010010399;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;033_o_m_h_a.jpg;happy;9;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;238;block1_Pilot_2;33;h_n;h_n_strong;;;;;0;0;0;0;0;0;0;0;;;;;;;;;68.03931860020384;None;70.03279830003157;70.32620850019157;70.32620850019157;70.47605400020257;70.47605400020257;70.51678920001723;70.51678920001723;None;None;0;70.51678920001723;None;72.01778670004569;None;None;72.01778670004569;None;67.00058860005811;None;None;None;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;004_o_m_h_a.jpg;happy;9;12;f;012_o_f_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;218;block1_Pilot_2;4;h_h;h_h_weak;;;;;0;0;0;0;0;1;1;1;;;;;;;;;75.01727640000172;None;76.85830760002136;77.15164210018702;77.15164210018702;77.1678133001551;77.1678133001551;77.2085482000839;77.2085482000839;None;None;0;77.2085482000839;None;78.70869250013493;None;None;78.70869250013493;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;012_o_f_h_a.jpg;happy;9;33;m;033_o_m_h_a.jpg;happy;congruent;9;mismatch;;120;150;;2;140;block1_Pilot_2;12;h_h;h_h_weak;;;;;0;0;0;0;0;2;2;2;;;;;;;;;81.70887950016186;None;82.88790920004249;83.17648760019802;83.17648760019802;83.19294740003534;83.19294740003534;83.23386760009453;83.23386760009453;None;None;0;83.23386760009453;None;84.73388620000333;None;None;84.73388620000333;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;192;block1_Pilot_2;40;n_h;n_h_weak;;;;;0;0;0;0;0;3;3;3;;;;;;;;;87.73463950003497;None;89.35894380020909;89.6518866000697;89.6518866000697;89.66810830007307;89.66810830007307;89.70890620001592;89.70890620001592;None;None;0;89.70890620001592;None;91.20909380004741;None;None;91.20909380004741;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;013_y_m_s_a.jpg;sad;7;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;match;;130;170;;3;155;block1_Pilot_2;13;s_n;s_n_weak;;;;;0;0;0;0;0;4;4;4;;;;;;;;;94.20944060012698;None;95.51067090011202;95.80167230009101;95.80167230009101;95.8265064000152;95.8265064000152;95.86718360008672;95.86718360008672;None;None;0;95.86718360008672;None;97.36734920018353;None;None;97.36734920018353;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;012_o_f_h_a.jpg;happy;9;21;f;021_o_f_h_a.jpg;happy;congruent;9;match;;120;150;;2;216;block1_Pilot_2;12;h_h;h_h_strong;;;;;0;0;0;0;0;5;5;5;;;;;;;;;100.36824450013228;None;102.1742579001002;102.46851330017671;102.46851330017671;102.48494480014779;102.48494480014779;102.52583380020224;102.52583380020224;None;None;0;102.52583380020224;None;104.02597270021215;None;None;104.02597270021215;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
