Person	primeGender	prime	primeEmotion	corrAnsPrime	targetPerson	targetGender	target	targetEmotion	Cond	corrAnsTar	gender	condition	ID_primer	ID_target	PrimerTime	PrimerTime120	JitterTime	conditionsFile	primePerson	emotion_condition	Condition	example.thisRepN	example.thisTrialN	example.thisN	example.thisIndex	readinBlocks.thisRepN	readinBlocks.thisTrialN	readinBlocks.thisN	readinBlocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	text_intro.started	text_intro.stopped	text_probe.started	text_probe.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	polygon_ISI.started	polygon_ISI.stopped	polygon.started	polygon.stopped	primerImage.started	primerImage.stopped		maskImage.started	maskImage.stopped	response.started	response.stopped	key_resp.keys	key_resp.corr	key_resp.started	key_resp.stopped	text.started	text.stopped	key_resp_Rating.keys	key_resp_Rating.rt	key_resp_Rating.started	key_resp_Rating.stopped	text_start.started	text_start.stopped	text_pause.started	text_pause.stopped	key_resp.rt	text_ende.started	text_ende.stopped	participant	date	expName	psychopyVersion	frameRate
																																		159.5651206	164.5227638	164.5227638	None	7	16.8360244	159.5651206	None																													Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
2	f	1113_y_f_s_a.jpg	sad	7	1	m	1111_m_m_h_a.jpg	happy	incongruent	9	mix	s+h	130	150	1	2	148					0	0	0	0																	176.5062285	None	177.8490978	178.1666021	178.1666021	178.2004929	0.0338908	178.2004929	178.2339695	178.2339695	None	None	0	178.2339695	None	179.7301458	None	['9']	[2.91114349999998]	179.7301458	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
2	f	1111_m_m_h_a.jpg	happy	9	3	f	1113_y_f_s_a.jpg	sad	incongruent	7	mix	h+s	120	160	9	18	195					0	1	1	1																	182.7297681	None	184.3836644	184.6729509	184.6729509	184.8223166	0.1493657	184.8223166	184.8628179	184.8628179	None	None	0	184.8628179	None	186.3630911	None	None		186.3630911	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
2	f	1112_m_f_n_a.jpg	neutral	8	2	f	1112_m_f_n_a.jpg	neutral	congruent	8	match	n+n	140	170	9	18	134					0	2	2	2																	189.3631341	None	190.5380323	190.831456	190.831456	190.9809968	0.1495408	190.9809968	191.0211314	191.0211314	None	None	0	191.0211314	None	192.5217381	None	['8', '7']	[0.18356280000000424, 2.9674982000000227]	192.5217381	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	033_o_m_h_a.jpg	happy	9	30	f	030_o_f_n_a.jpg	neutral	incongruent	8	mismatch		120	170		18	238	block1_Pilot_2	33	h_n	h_n_strong					0	0	0	0	0	0	0	0									196.5674253	None	198.560753	198.855856	198.855856	199.0056432	0.1497872	199.0056432	199.0464277	199.0464277	None	9	0	199.0464277	None	200.5468684	None	['7']	[2.3743977000000314]	200.5468684	None	195.5212327	None	None	None	1.4587806			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	004_o_m_h_a.jpg	happy	9	12	f	012_o_f_h_a.jpg	happy	congruent	9	mismatch		120	150		2	218	block1_Pilot_2	4	h_h	h_h_weak					0	0	0	0	0	1	1	1									203.5471743	None	205.4119815	205.7068093	205.7068093	205.7226082	0.0157989	205.7226082	205.7634055	205.7634055	None	None	0	205.7634055	None	207.2633651	None	['9', '7']	[0.2579665999999179, 2.2258013999999093]	207.2633651	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	012_o_f_h_a.jpg	happy	9	33	m	033_o_m_h_a.jpg	happy	congruent	9	mismatch		120	150		2	140	block1_Pilot_2	12	h_h	h_h_weak					0	0	0	0	0	2	2	2									210.2640431	None	211.449	211.7393575	211.7393575	211.7558771	0.0165196	211.7558771	211.7966001	211.7966001	None	None	0	211.7966001	None	213.2967709	None	['9']	[1.832594800000038]	213.2967709	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	040_y_f_n_a.jpg	neutral	8	40	f	040_y_f_h_a.jpg	happy	incongruent	9	match		140	150		2	192	block1_Pilot_2	40	n_h	n_h_weak					0	0	0	0	0	3	3	3									216.2969179	None	217.9364483	218.2319422	218.2319422	218.2479247	0.0159825	218.2479247	218.2885429	218.2885429	None	None	0	218.2885429	None	219.7885043	None	['8', '8']	[0.03651999999999589, 2.4925849999999627]	219.7885043	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	m	013_y_m_s_a.jpg	sad	7	16	m	016_y_m_n_a.jpg	neutral	incongruent	8	match		130	170		3	155	block1_Pilot_2	13	s_n	s_n_weak					0	0	0	0	0	4	4	4									222.7899799	None	224.0961635	224.3896303	224.3896303	224.4144629	0.0248326	224.4144629	224.4552102	224.4552102	None	8	1	224.4552102	None	225.9553884	None	['8']	[2.6138650000000325]	225.9553884	None					1.065976			Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
	f	012_o_f_h_a.jpg	happy	9	21	f	021_o_f_h_a.jpg	happy	congruent	9	match		120	150		2	216	block1_Pilot_2	12	h_h	h_h_strong					0	0	0	0	0	5	5	5									228.9554691	None	230.7630443	231.0564689	231.0564689	231.0733278	0.0168589	231.0733278	231.1139377	231.1139377	None	None	0	231.1139377	None	232.6138336	None	['9']	[0.8914782000000514]	232.6138336	None								Emoconpilot039	2021_Dec_15_1153	BackwardMask	08.02.20	120.019059
